"gene","n_decode_cis","n_ukbpp_cis","n_shared","concordant_n","concordant_pct","pearson_r","pearson_p","ukbpp_top_pos","ukbpp_top_P"
"PCSK9",21879,12684,8703,5331,0.612547397449155,0.338404710977931,4.05793995923851e-232,55039974,0
"INSR",29579,14255,9737,5606,0.575742014994351,0.074632358936371,1.65857122569593e-13,7125508,4.47713304176362e-11
"ANGPTL3",20893,11098,7686,5266,0.685141816289357,0.396387385629381,1.4023573667487e-287,62435572,0
"LDLR",NA,11281,0,NA,NA,NA,NA,NA,NA
"APOB",NA,10731,0,NA,NA,NA,NA,NA,NA
"DPP4",17267,8863,5965,3245,0.544006705783738,0.0862695988227309,2.49018711830042e-11,162074215,9.01571137605983e-204
"GLP1R",21099,12299,8417,4450,0.528691932992753,0.0134608921109462,0.216893246441469,38832549,0.000409138171589233
"GCG",17385,8878,5981,3216,0.537702725296773,-0.00805328441314068,0.533484198178617,161632338,0.000151262056291429
