gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000078618,NRD1,fbg,-0.01573945049398,0.15964990164281,0.001522,34.1451,794,0.0100426947530879,TRUE,""
ENSG00000078900,TP73,fbg,0.0316579885732084,0.78972582092805,0.0005946,5.4636,2094,0.00537818958088312,TRUE,""
ENSG00000079277,MKNK1,fbg,-0.024086392487382,0.107155507032273,0.005284,40.2036,1331,0.0209795258060354,TRUE,""
ENSG00000079335,CDC14A,fbg,0.0037067929671757,0.628477445586286,0.0007049,71.8444,1901,0.00406048371069122,TRUE,""
ENSG00000081692,JMJD4,fbg,0.00879593311631757,0.65672128656377,0.002716,32.3786,1689,0.00483557674490664,TRUE,""
ENSG00000081870,HSPB11,fbg,-0.011183195222531,0.858897500094722,0.002695,12.5891,1903,0.0119598423947373,TRUE,""
ENSG00000081985,IL12RB2,fbg,0.0128028660411239,0.442818848069903,0.0001576,44.2676,2264,0.0188157586978243,TRUE,""
ENSG00000082512,TRAF5,fbg,0.019245398437931,0.491767700760523,0.001556,20.3474,1978,0.00505773202066515,TRUE,""
ENSG00000084072,PPIE,fbg,-0.0116637695254588,0.0113656807384988,0.0002863,123.5903,1297,0.0843931086638669,TRUE,""
ENSG00000084073,ZMPSTE24,fbg,-0.0133288404657606,0.698684565645401,0.0002863,16.0254,1352,0.00425280602105651,TRUE,""
ENSG00000085552,IGSF9,fbg,0.271543473678373,0.0273922381359285,0.004225,9.6821,1801,0.0830612096044205,TRUE,""
ENSG00000085999,RAD54L,fbg,-0.0513871187155332,0.607052248071005,0.000825,6.2237,1145,0.00631536160207867,TRUE,""
ENSG00000088280,ASAP3,fbg,-0.0234285093308516,0.542023387720777,0.005674,18.8782,1295,0.0058528175988587,TRUE,""
ENSG00000090020,SLC9A1,fbg,-0.00294038750978237,0.956892098247027,1.967e-05,11.8995,951,0.00447360961581956,TRUE,""
ENSG00000090432,MUL1,fbg,0.000782395462344919,0.96455013508576,1.131e-05,53.6683,1682,0.00441724652433155,TRUE,""
ENSG00000092850,TEKT2,fbg,-0.0097186511883197,0.900523550339774,0.0008783,8.5378,1094,0.00479865656313356,TRUE,""
ENSG00000092969,TGFB2,fbg,-0.0305224050057103,0.806535441920889,0.0001692,6.8959,2127,0.00603630184841433,TRUE,""
ENSG00000092978,GPATCH2,fbg,-0.119672382897267,0.150575972824847,0.0001692,6.7951,2801,0.0103433401192695,TRUE,""
ENSG00000094975,SUCO,fbg,0.00794316929578512,0.903523023570037,0.0009163,8.0377,1595,0.0040297952340568,TRUE,""
ENSG00000116133,DHCR24,fbg,0.00999171795688582,0.583426134426407,0.003553,30.101,1980,0.00432628735615293,TRUE,""
ENSG00000116138,DNAJC16,fbg,0.0955530265615941,0.129734038294669,0.001479,9.3142,1511,0.0116397671332523,TRUE,""
ENSG00000116151,MORN1,fbg,0.00912700406014816,0.754660563059686,0.002196,18.1359,998,0.00382401819896031,TRUE,""
ENSG00000116157,GPX7,fbg,-0.0286447661494833,0.0429300147848126,0.001522,85.0997,1331,0.0047139097449836,TRUE,""
ENSG00000116161,CACYBP,fbg,0.0464112762900087,0.57377540363273,0.006179,6.8903,1430,0.00451737402876284,TRUE,""
ENSG00000116171,SCP2,fbg,-0.0160007010402695,0.0718606382258516,0.001522,97.5326,1482,0.0064640140904657,TRUE,""
ENSG00000116191,RALGPS2,fbg,-0.0647788689146592,0.483927304446146,0.0006314,9.5848,1726,0.00775825447258477,TRUE,""
ENSG00000116198,CEP104,fbg,0.0117216965230147,0.391365938307552,0.0005946,94.2134,2298,0.00931026324540443,TRUE,""
ENSG00000116199,FAM20B,fbg,-0.0341986332772963,0.169131444702671,0.00103,22.9015,1637,0.00998672810310076,TRUE,""
ENSG00000116205,TCEANC2,fbg,0.0781074677057949,0.542966417403574,0.002695,14.0484,1892,0.016712536639126,TRUE,""
ENSG00000116212,LRRC42,fbg,-0.00700901776328979,0.886403006367064,0.002695,15.0629,1920,0.00503716497068454,TRUE,""
ENSG00000116213,WRAP73,fbg,0.00535774526657568,0.711706471507654,0.0005946,46.4078,1934,0.00571023040819402,TRUE,""
ENSG00000116221,MRPL37,fbg,0.00131512028785326,0.96455013508576,0.002695,24.5712,1816,0.00550778781853757,TRUE,""
ENSG00000116237,ICMT,fbg,-0.0408963594572004,0.409371590694505,0.004622,37.6324,1896,0.0195923742774933,TRUE,""
ENSG00000116254,CHD5,fbg,-0.0267536670416279,0.756923103409378,0.004622,7.5075,1954,0.00581352113909304,TRUE,""
ENSG00000116266,STXBP3,fbg,0.0148197460296157,0.617075077451974,0.0002447,13.6993,1529,0.00489565386150401,TRUE,""
ENSG00000116455,WDR77,fbg,0.0189061037772841,0.627783826989789,0.002859,10.1049,2400,0.00464806790366476,TRUE,""
ENSG00000116459,ATP5F1,fbg,0.0267966353662897,0.808451451773901,0.002859,5.3141,2393,0.00452084726433001,TRUE,""
ENSG00000116478,HDAC1,fbg,0.17765601046189,0.617075077451974,0.002438,7.8941,941,0.0327187759169285,TRUE,""
ENSG00000116514,RNF19B,fbg,0.00852649660664797,0.859924253238214,0.00205,18.6522,1188,0.00623387428914136,TRUE,""
ENSG00000116574,RHOU,fbg,0.00401193193729089,0.826844797716898,0.002716,28.3544,1367,0.00394173219137117,TRUE,""
ENSG00000116641,DOCK7,fbg,0.00351052327880779,0.855725415320072,0.004391,30.3199,1839,0.00402395616798763,TRUE,""
ENSG00000116661,FBXO2,fbg,-0.00276474732933801,0.827287450832149,0.002302,49.6758,1268,0.0064929007451065,TRUE,""
ENSG00000116667,C1orf21,fbg,0.0042215757409811,0.937074486238219,0.004287,12.5491,1629,0.0046025173730071,TRUE,""
ENSG00000116679,IVNS1ABP,fbg,0.0982834559934239,0.193600969171221,0.005466,23.4645,1290,0.0270291500005941,TRUE,""
ENSG00000116690,PRG4,fbg,0.0406554684455262,0.206983058311127,0.0004423,23.095,1458,0.0083269429978768,TRUE,""
ENSG00000116691,MIIP,fbg,-0.0470771232383915,0.150575972824847,0.002302,17.3339,1165,0.0104970878934214,TRUE,""
ENSG00000116698,SMG7,fbg,0.00224295321478942,0.826844797716898,0.004287,84.9036,1968,0.00498824694302396,TRUE,""
ENSG00000116701,NCF2,fbg,0.0457081469884335,0.129486728502174,0.004287,18.2681,1943,0.0119284829881864,TRUE,""
ENSG00000116704,SLC35D1,fbg,0.00746055645801812,0.564779052623049,0.0001146,30.415,2216,0.00442880122980701,TRUE,""
ENSG00000116729,WLS,fbg,-0.0155206373497261,0.230139340443417,0.0001576,79.2477,1911,0.00815929551948786,TRUE,""
ENSG00000116731,PRDM2,fbg,0.0148590270676378,0.906347316282193,0.001715,4.7917,1684,0.00339341491875566,TRUE,""
ENSG00000116741,RGS2,fbg,-0.019659757733804,0.518822668670191,0.002174,18.0468,1654,0.00456831431213639,TRUE,""
ENSG00000116747,TROVE2,fbg,0.0288122698427107,0.595245548732816,0.002174,14.89,1662,0.00443819317362848,TRUE,""
ENSG00000116750,UCHL5,fbg,0.122387128745255,0.078959278765636,0.002174,9.3412,1648,0.0204521836960605,TRUE,""
ENSG00000116786,PLEKHM2,fbg,0.00704595234774788,0.761866768188248,0.001479,25.0855,1434,0.00412292552438621,TRUE,""
ENSG00000116793,PHTF1,fbg,0.0882578318683795,0.236890125596873,0.0006516,22.185,1398,0.0217492833247926,TRUE,""
ENSG00000116815,CD58,fbg,0.00210419918586159,0.983025013502954,0.0008496,8.0515,1792,0.00553426531672349,TRUE,""
ENSG00000116830,TTF2,fbg,0.159998481986171,0.0864762654936656,0.0008496,66.1233,1618,0.0584890686879569,TRUE,""
ENSG00000116857,TMEM9,fbg,0.000374547708819942,0.95910077028586,0.0004556,95.0383,2108,0.00462516936797021,TRUE,""
ENSG00000116874,WARS2,fbg,-0.00997435733009329,0.279661048232695,0.001686,73.7533,1840,0.0114539181181346,TRUE,""
ENSG00000116883,AL591845.1,fbg,0.0050811036048614,0.617075077451974,0.0008783,30.2673,1215,0.0046312888354419,TRUE,""
ENSG00000116898,MRPS15,fbg,-0.0400660264105642,0.461822562879907,0.0008783,17.3264,1225,0.00881966283073427,TRUE,""
ENSG00000116903,EXOC8,fbg,0.0061667777003827,0.775096962195985,0.001787,25.9323,2183,0.00434722292884632,TRUE,""
ENSG00000116906,GNPAT,fbg,0.0123866783450401,0.583426134426407,0.001787,24.4287,2229,0.00427652628663819,TRUE,""
ENSG00000116957,TBCE,fbg,-0.0191824177500544,0.245523853695853,0.00132,33.2317,1771,0.00706190648547891,TRUE,""
ENSG00000116983,HPCAL4,fbg,-0.0116463653600699,0.317310507862914,0.0002863,82.0124,1309,0.00683460703844785,TRUE,""
ENSG00000116990,MYCL1,fbg,0.074509486015028,0.220271518788167,0.0002863,8.2677,1308,0.00721841093762416,TRUE,""
ENSG00000116991,SIPA1L2,fbg,-0.0129386988586083,0.34661443250305,0.0009858,50.3215,2352,0.00420067796634508,TRUE,""
ENSG00000117013,KCNQ4,fbg,-0.0281425975766108,0.753304047285912,0.002092,6.3324,1649,0.00500460651595845,TRUE,""
ENSG00000117016,RIMS3,fbg,0.000946156769671955,0.955695871316436,0.0002863,37.6259,1593,0.00432813098322779,TRUE,""
ENSG00000117036,ETV3,fbg,0.00963831366500806,0.97480783258174,0.001098,5.5024,1986,0.0104975866241538,TRUE,""
ENSG00000117090,SLAMF1,fbg,-0.0674767811637849,0.0581272742106314,0.003296,18.9932,1673,0.0255773200929519,TRUE,""
ENSG00000117091,CD48,fbg,0.015319035829315,0.489894777830357,0.003296,32.9829,1643,0.00629412158751458,TRUE,""
ENSG00000117133,RPF1,fbg,0.0361010493993591,0.617075077451974,3.356e-06,21.5008,2219,0.0127244761309376,TRUE,""
ENSG00000117143,UAP1,fbg,-0.0092782576967365,0.722710426810277,0.0001711,21.1031,2582,0.00373339381494004,TRUE,""
ENSG00000117151,CTBS,fbg,0.0397150525666877,0.133614402537716,3.356e-06,33.5534,2189,0.0179385377964987,TRUE,""
ENSG00000117215,PLA2G2D,fbg,0.0554581548251355,0.627169753539399,1.131e-05,5.4245,1781,0.00381112971698361,TRUE,""
ENSG00000117222,RBBP5,fbg,0.119444741414833,0.169131444702671,0.004246,6.81,2131,0.00950844290081273,TRUE,""
ENSG00000117228,GBP1,fbg,-0.0847380000206906,0.276491247419954,0.002997,7.7459,1623,0.00739988483110086,TRUE,""
ENSG00000117245,KIF17,fbg,0.0839721190646466,0.236329736314398,1.131e-05,9.3928,1755,0.00735572454142858,TRUE,""
ENSG00000117280,RAB7L1,fbg,-0.0303323464903544,0.033903955680783,0.001884,37.4911,1572,0.0358327964766323,TRUE,""
ENSG00000117305,HMGCL,fbg,0.0387009384017186,0.380381827065438,0.000818,22.9187,1152,0.00985717538562507,TRUE,""
ENSG00000117322,CR2,fbg,-0.0222968152683103,0.673716649749524,0.001884,12.6894,1895,0.0049516393400619,TRUE,""
ENSG00000117385,LEPRE1,fbg,0.00846733208398596,0.661748776081758,0.0001169,29.4289,1602,0.00405695020323266,TRUE,""
ENSG00000117394,SLC2A1,fbg,0.190492247262652,0.000387598128150081,0.0001169,10.2437,1531,0.639889601991665,TRUE,""
ENSG00000117395,EBNA1BP2,fbg,0.00992347362074265,0.607052248071005,0.0001169,29.5245,1532,0.00462184492079589,TRUE,""
ENSG00000117408,IPO13,fbg,-0.027246883883665,0.760862912213715,0.0003154,9.146,1462,0.00580344777599765,TRUE,""
ENSG00000117410,ATP6V0B,fbg,-0.0114976948228157,0.778939163028047,0.0003154,24.5712,1462,0.00712997655673674,TRUE,""
ENSG00000117448,AKR1A1,fbg,-0.107995673010906,0.020750145316116,0.000825,12.1964,1087,0.0598847070105423,TRUE,""
ENSG00000117480,FAAH,fbg,0.0134952177644748,0.303286223069842,0.002083,42.365,1191,0.00656014709100676,TRUE,""
ENSG00000117481,NSUN4,fbg,0.00745017234956898,0.303286223069842,0.002083,83.1036,1169,0.00621044032166218,TRUE,""
ENSG00000117500,TMED5,fbg,-0.0204095967985604,0.169131444702671,0.001528,55.1583,1490,0.00783244308650759,TRUE,""
ENSG00000117505,DR1,fbg,0.012056601754393,0.200105868954852,0.001528,62.4301,1490,0.00727877840245095,TRUE,""
ENSG00000117528,ABCD3,fbg,-0.015876938202021,0.272740113942453,0.0001114,38.1419,1849,0.00621149782355347,TRUE,""
ENSG00000117533,VAMP4,fbg,0.0270474415314679,0.441756327424919,0.0009163,19.6763,1902,0.00633176675390356,TRUE,""
ENSG00000117569,PTBP2,fbg,0.00917127294083798,0.458126425559177,6.129e-05,44.7415,1745,0.00591901685726069,TRUE,""
ENSG00000117586,TNFSF4,fbg,0.00581190126199004,0.732271676747657,0.0009562,39.6076,1239,0.0048958079349285,TRUE,""
