gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,strong
ENSG00000169957,ZNF768,cad,-0.46847066825609,0.0002683626804898,0.012115955725621031,0.0001223,8.1415,2023.0,0.739400271047334,False
ENSG00000181019,NQO1,cad,0.178198632655128,0.0001405326513065,0.007553243929011996,3.621e-07,30.155,3501.0,0.211447208261484,False
ENSG00000187535,IFT140,cad,0.254000922227117,0.0010172413503286,0.03209888673843344,1.83e-07,16.0875,5576.0,0.0266700756609263,False
ENSG00000196118,C16orf93,cad,-0.249934473212823,0.0006287045757745,0.02266580403031754,0.0001223,16.3069,2363.0,0.505408889268883,False
ENSG00000196155,PLEKHG4,cad,0.647274096368982,0.0019010980249348,0.048682044188251866,0.0004551,8.0483,3120.0,0.339802205892029,False
ENSG00000223496,EXOSC6,cad,-0.092505012629442,0.0002091565721299,0.009836392252762893,3.621e-07,78.7507,2764.0,0.0004878848565885,False
ENSG00000260252,RP11-384M15.3,cad,0.321409672478785,2.58901582359301e-05,0.0020306440435637505,2.92e-11,4.6988,4216.0,0.852429632814496,True
ENSG00000261783,RP11-252K23.2,cad,-0.0744343685650752,1.18940998595397e-10,6.98088508956104e-08,2.491e-16,33.6283,6486.0,6.1401611112357e-05,False
ENSG00000030582,GRN,cad,-0.254728624406845,0.0005006803442109,0.019190252808968605,1.616e-06,23.5129,4240.0,0.32989917768045,False
ENSG00000040633,PHF23,cad,-0.238544939514412,0.0002660004600611,0.012046372686655928,0.0002708,22.3111,5926.0,0.727665529685819,False
ENSG00000055483,USP36,cad,-0.0428375576085357,0.0014081150128825,0.038983531290613056,3.156e-05,81.2475,6594.0,0.0777321722555572,False
ENSG00000070495,JMJD6,cad,-0.0999676927169849,2.50569922986382e-05,0.0019873580972860445,3.002e-06,48.6337,6398.0,0.0369104590580572,False
ENSG00000070526,ST6GALNAC1,cad,0.0972738375757301,2.50569922986382e-05,0.0019873580972860445,3.002e-06,45.4637,6104.0,0.0203517861233892,False
