gene,symbol,outcome,mr_b,mr_p,padj,gwas_min_p,eqtl_F_max,nsnp,pp4,set,status
ENSG00000108551,RASD1,cad,-0.327205882352941,2.7917651565573902e-09,9.99111466882112e-07,9.507e-10,17.136,4152.0,0.98599491492195,fdr_core_strong,strong (FDR-core)
ENSG00000177963,RIC8A,cad,-0.168175197002956,4.87503845110966e-05,0.0033403593926131,8.347e-06,27.9039,3064.0,0.889472442278656,fdr_core_strong,strong (FDR-core)
ENSG00000237429,RP1-159A19.4,cad,-0.599442180934275,9.42739345922682e-06,0.000881070982339,1.852e-06,5.6823,3362.0,0.922899740999808,fdr_core_strong,strong (FDR-core)
ENSG00000213277,RP11-332O19.3,cad,-0.704412281638241,3.46767698679861e-14,8.480204071216001e-11,4.67e-15,12.2559,4382.0,0.916142214868887,fdr_core_strong,strong (FDR-core)
ENSG00000260252,RP11-384M15.3,cad,0.321409672478785,2.58901582359301e-05,0.0020306440435637,2.92e-11,4.6988,4216.0,0.852429632814496,fdr_core_strong,strong (FDR-core)
ENSG00000267342,RP11-552F3.10,cad,0.123627468448683,2.22783345251322e-05,0.0018262011312137,3.002e-06,13.0836,5171.0,0.866553118253087,fdr_core_strong,strong (FDR-core)
ENSG00000203288,RP11-98D18.9,cad,0.263067649909633,5.030688112385371e-09,1.640339703845123e-06,2.85e-11,12.3534,3765.0,0.883182269117576,fdr_core_strong,strong (FDR-core)
ENSG00000136715,SAP130,cad,-0.389200210465857,0.0001199864408978,0.006823880028269,8.784e-06,20.0236,6002.0,0.82152618661109,fdr_core_strong,strong (FDR-core)
ENSG00000170145,SIK2,cad,0.19229635144664,4.63543743832003e-06,0.0005313732307224,7.75e-07,26.1288,4953.0,0.856181632187796,fdr_core_strong,strong (FDR-core)
ENSG00000070915,SLC12A3,cad,0.524902262858856,1.9731752900754102e-09,7.423692572122178e-07,1.194e-09,8.363,6424.0,0.993721390369186,fdr_core_strong,strong (FDR-core)
