gene,symbol,outcome,pp4,tier,ok,pp4_enr,set,mr_b,mr_p,is_new
ENSG00000198492,YTHDF2,t2d,0.910657101380508,strong,True,0.9964285600138433,known,,,
ENSG00000203288,RP11-98D18.9,cad,0.883182269117576,strong,True,0.9951909766691851,known,,,
ENSG00000205238,SPDYE2,t2d,0.963073941110323,strong,True,0.9986011941593363,known,,,
ENSG00000212541,U6,cad,0.988896566819144,strong,True,0.9995899655638179,known,,,
ENSG00000213277,RP11-332O19.3,cad,0.916142214868887,strong,True,0.996667097238314,known,,,
ENSG00000213390,ARHGAP19,t2d,0.839294639172335,strong,True,0.9930532688660655,known,,,
ENSG00000214413,BBIP1,t2d,0.853468938885073,strong,True,0.9937666940812871,known,,,
ENSG00000215251,FASTKD5,cad,0.903698834280561,strong,True,0.996121959268833,known,,,
ENSG00000226920,RP5-1068B5.3,t2d,0.852114495602402,strong,True,0.9936995037642252,known,,,
ENSG00000229666,MAST4-AS1,t2d,0.97675195075488,strong,True,0.999131206059788,known,,,
ENSG00000230069,LRRC37A15P,t2d,0.980973397057212,strong,True,0.999291910056231,known,,,
ENSG00000230224,PHBP9,t2d,0.972888870400323,strong,True,0.9989829682953494,known,,,
ENSG00000230925,RP11-176F3.7,t2d,0.924871926954197,strong,True,0.997041130869428,known,,,
ENSG00000235513,RP4-756G23.5,t2d,0.936513688220717,strong,True,0.9975295063116711,known,,,
ENSG00000237429,RP1-159A19.4,cad,0.930423615803356,strong,True,0.9972754906299278,known,,,
ENSG00000242142,SERBP1P3,t2d,0.979895214083185,strong,True,0.999250992037912,known,,,
ENSG00000242288,RP11-464F9.1,t2d,0.940514018726893,strong,True,0.9976946385586063,known,,,
ENSG00000245556,CTD-2037K23.2,cad,0.811992511905522,strong,True,0.9916120286408927,known,,,
ENSG00000246889,AP000487.5,cad,0.933704061858495,strong,True,0.9974127130272793,known,,,
ENSG00000248677,CTD-2044J15.1,cad,0.861921688363935,strong,True,0.9941814423559918,known,,,
ENSG00000248971,KRT8P46,t2d,0.980973396431229,strong,True,0.9992919100324996,known,,,
ENSG00000251288,RP11-10L12.2,t2d,0.9809732435352,strong,True,0.9992919042360963,known,,,
ENSG00000251582,RP11-464F9.9,t2d,0.904653118179906,strong,True,0.9961642755307873,known,,,
ENSG00000253878,RP11-347C18.3,t2d,0.932041698504472,strong,True,0.997343291691502,known,,,
ENSG00000253981,ALG1L13P,t2d,0.816051995860348,strong,True,0.9918321554680872,known,,,
ENSG00000256269,HMBS,cad,0.886141680923424,strong,True,0.9953278177505026,known,,,
ENSG00000260233,RP11-856B14.1,t2d,0.976614268576567,strong,True,0.9991259421896679,known,,,
ENSG00000260252,RP11-384M15.3,cad,0.852429632814496,strong,True,0.9937151551289823,known,,,
ENSG00000263883,RP11-51F16.5,t2d,0.803923856428146,strong,True,0.9911681999153615,known,,,
ENSG00000264386,MIR4513,cad,0.805877031808448,strong,True,0.9912764159734657,known,,,
ENSG00000264508,Metazoa_SRP,cad,0.922589447019508,strong,True,0.9969439920651353,known,,,
ENSG00000264584,Metazoa_SRP,cad,0.92137482738309,strong,True,0.9968921112940612,known,,,
ENSG00000266173,STRADA,t2d,0.846610825514875,strong,True,0.9934243645251358,known,,,
ENSG00000267342,RP11-552F3.10,cad,0.866556006808261,strong,True,0.9944055427629713,known,,,
ENSG00000267698,AC002116.7,t2d,0.850176089156289,strong,True,0.9936029880570107,known,,,
ENSG00000268471,DKFZP434I0714,t2d,0.846089643863427,strong,True,0.9933981320604425,known,,,
ENSG00000268649,hsa-mir-296,fbg,0.94665233324918,strong,True,0.9979454167759322,known,,,
ENSG00000134256,CD101,t2d,0.94884375983226,known_locus_100kb_novel_gene,,0.9980341908083796,candidate,0.132574119576048,0.0001163658554592,True
ENSG00000135974,C2orf49,t2d,0.980172561304731,known_locus_250kb_novel_gene,,0.9992615258951056,candidate,0.993379810487888,1.90172751687517e-07,True
ENSG00000004534,RBM6,t2d,0.944783239528696,known_locus_100kb_novel_gene,,0.9978693874910051,candidate,-0.0577133415258059,1.02183794615947e-05,True
ENSG00000163815,CLEC3B,t2d,0.833833762129008,no_catalog_t2dcad,,0.9927722194649538,candidate,0.111929641906865,0.0001319529291076,True
ENSG00000249915,PDCD6,t2d,0.842272690870712,no_catalog_t2dcad,,0.9932050677455836,candidate,0.252503382719474,3.11056024514747e-05,True
ENSG00000095485,CWF19L1,t2d,0.960013578606752,known_locus_100kb_novel_gene,,0.9984806185085412,candidate,-0.0796943702644714,0.0003150936635397,True
ENSG00000252118,U6atac,t2d,0.957066021312353,known_locus_100kb_novel_gene,,0.998363786062196,candidate,0.816398006299582,1.70637513329084e-11,True
ENSG00000158710,TAGLN2,cad,0.946476746550235,no_catalog_t2dcad,,0.9979382867081459,candidate,0.141037002437856,2.62947160278819e-05,True
ENSG00000213085,CCDC19,cad,0.946245942458657,no_catalog_t2dcad,,0.997928910551721,candidate,0.222313298523997,2.6294716027882e-05,True
ENSG00000243284,VSIG8,cad,0.916242256890915,no_catalog_t2dcad,,0.9966714224105359,candidate,0.367374619378322,2.62947160278819e-05,True
ENSG00000148842,CNNM2,cad,0.936554980592514,known_locus_100kb_novel_gene,,0.997531217771454,candidate,1.88622481195701,9.85010679950938e-15,True
ENSG00000177963,RIC8A,cad,0.889472442278656,known_locus_100kb_novel_gene,,0.9954807851588681,candidate,-0.168175197002956,4.87503845110966e-05,True
ENSG00000244754,N4BP2L2,cad,0.923656725402997,known_locus_100kb_novel_gene,,0.9969894711792182,candidate,-0.117451024645651,1.17709270278885e-09,True
ENSG00000070915,SLC12A3,cad,0.993721390369186,known_locus_100kb_novel_gene,,0.9997692240023639,candidate,0.524902262858856,1.9731752900754102e-09,True
ENSG00000011422,PLAUR,cad,0.99567426748846,no_catalog_t2dcad,,0.9998413041824239,candidate,0.610120453481186,2.00478689359048e-06,True
