gene,symbol,outcome,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000054267,ARID4B,cad,0.130892679346273,0.419771242383784,0.0001261,9.6377,4892,0.00572827492523872,TRUE,""
ENSG00000054277,OPN3,cad,-0.00490274466404088,0.831237456877116,0.0003007,42.2844,6073,0.00274067553711634,TRUE,""
ENSG00000054282,SDCCAG8,cad,-0.0146891743061775,0.367248483693673,0.003528,47.5294,4099,0.00291448742610617,TRUE,""
ENSG00000054392,HHAT,cad,-0.103975902100585,0.323321972873559,2.583e-08,13.5068,5559,6.4731484366013e-05,TRUE,""
ENSG00000054523,KIF1B,cad,0.0486585776272054,0.0513819637660028,3.717e-06,89.9543,4307,0.00506331487861315,TRUE,""
ENSG00000055732,MCOLN3,cad,-0.00652564732042929,0.910107278862281,0.0007501,19.0293,4600,0.00284658120812384,TRUE,""
ENSG00000057252,SOAT1,cad,0.0207466680927677,0.638355017565112,0.000618,44.9667,5899,0.00349942217150862,TRUE,""
ENSG00000057468,MSH4,cad,-0.323934787935828,0.0229010768474036,4.731e-05,25.8207,4705,0.146854877532425,TRUE,""
ENSG00000057757,PITHD1,cad,0.27215440609013,0.312634854896532,2.061e-05,6.0392,3683,0.00776236601820583,TRUE,""
ENSG00000058453,CROCC,cad,0.0333876042727866,0.261519464324923,6.958e-05,32.5954,3797,0.00474261991700105,TRUE,""
ENSG00000058668,ATP2B4,cad,-0.088996925039591,0.559668927199412,0.0001225,8.3114,5174,0.00379040605176228,TRUE,""
ENSG00000058673,ZC3H11A,cad,0.143048209414002,0.242471659824825,0.0001225,6.7458,5146,0.00504192146756028,TRUE,""
ENSG00000058799,YIPF1,cad,-0.0714573960930118,0.253097908947116,1.855e-22,15.9323,4611,0.00504155432824102,TRUE,""
ENSG00000058804,TMEM48,cad,0.157928222343796,0.362640684494304,1.855e-22,12.373,4545,0.0102166158546489,TRUE,""
ENSG00000060642,PIGV,cad,-0.126640536449617,0.0182202706208644,1.852e-06,35.7765,2939,0.0187959792438554,TRUE,""
ENSG00000060656,PTPRU,cad,0.109153844995621,0.709292079542706,1.972e-05,11.5872,4029,0.00991852356014954,TRUE,""
ENSG00000060688,SNRNP40,cad,-0.0843195406059994,0.0878412818689806,0.0004072,19.0031,3250,0.0114677788084416,TRUE,""
ENSG00000064703,DDX20,cad,0.036575808709644,0.702444696338871,0.000327,16.5164,4183,0.00439570246694961,TRUE,""
ENSG00000064886,CHI3L2,cad,-0.00691377597206972,0.691496221175875,0.0008984,92.2534,4747,0.00770878651679586,TRUE,""
ENSG00000065135,GNAI3,cad,-0.0512342934394639,0.00684638406141813,3.634e-58,67.5356,3517,1.73900479952137e-52,TRUE,""
ENSG00000065183,WDR3,cad,0.065089964088041,0.772461521733703,6.759e-05,12.543,3822,0.00849059973199249,TRUE,""
ENSG00000065243,PKN2,cad,0.294807997316006,0.208860483859169,1.678e-06,5.1828,3795,0.0133810774614079,TRUE,""
ENSG00000065526,SPEN,cad,-0.0657154388719754,0.552909077394367,0.0002725,14.5999,3813,0.00456036182705938,TRUE,""
ENSG00000065600,TMEM206,cad,0.0251497135263849,0.417742017975973,8.176e-06,30.247,5351,0.0033594757760487,TRUE,""
ENSG00000066027,PPP2R5A,cad,0.0187859419974578,0.398207109968035,8.176e-06,94.0222,5590,0.00317563125803276,TRUE,""
ENSG00000066056,TIE1,cad,0.650259439894862,0.000330470055413749,3.967e-05,5.9524,3538,0.59042005784617,TRUE,""
ENSG00000066135,KDM4A,cad,-0.378107375308741,0.0507194141396618,7.517e-05,5.9585,3497,0.0170292381968664,TRUE,""
ENSG00000066136,NFYC,cad,-0.120790555397729,0.00753077213693689,7.833e-05,22.7997,4401,0.0865209957336257,TRUE,""
ENSG00000066185,ZMYND12,cad,0.0954189704553461,0.0230426200877618,3.967e-05,32.6455,3682,0.02899963265915,TRUE,""
ENSG00000066294,CD84,cad,-0.0232524473123831,0.591376684626181,2.348e-05,39.2343,5310,0.0051577199500754,TRUE,""
ENSG00000066322,ELOVL1,cad,-0.311639755466796,0.00213933064583928,3.967e-05,9.9952,3508,0.229535134049134,TRUE,""
ENSG00000066557,LRRC40,cad,-0.327684403900479,0.0605575319647696,0.001349,7.4371,3737,0.0212818726969892,TRUE,""
ENSG00000067208,EVI5,cad,0.1576992053965,0.0443984654887525,0.0001951,21.9358,2813,0.0307723140358662,TRUE,""
ENSG00000067334,DNTTIP2,cad,0.0836311553753985,0.3967400955726,9.071e-05,10.6223,4006,0.00455008062958081,TRUE,""
ENSG00000067533,RRP15,cad,0.0100163782371754,0.738882680363527,3.164e-06,33.7023,5931,0.00174117316217583,TRUE,""
ENSG00000067606,PRKCZ,cad,0.211649249492821,0.00134430741472596,1.326e-08,15.7017,4087,0.000704683524648783,TRUE,""
ENSG00000067704,IARS2,cad,-0.733512754875003,0.189697196218977,0.0001304,7.3491,5102,0.0302022161669912,TRUE,""
ENSG00000069248,NUP133,cad,-0.0236320317616511,0.539026540991256,6.405e-07,32.3289,4845,0.000488537078633341,TRUE,""
ENSG00000069275,NUCKS1,cad,-0.000917940310938012,0.972958244759335,0.0001446,40.5669,4048,0.00268162349932954,TRUE,""
ENSG00000069702,TGFBR3,cad,-0.0820019531175711,0.390133657897216,0.0001336,11.9146,3757,0.00405844312818351,TRUE,""
ENSG00000069712,KIAA1107,cad,-0.296392340701655,0.307974896877435,0.0001336,7.7996,3323,0.0106006476415294,TRUE,""
ENSG00000070759,TESK2,cad,0.0110790105655171,0.668235141795249,1.755e-05,38.5594,2913,0.002499793176916,TRUE,""
ENSG00000070785,EIF2B3,cad,0.00670265494188881,0.960122388323255,4.721e-05,7.2579,3155,0.00261468827780342,TRUE,""
ENSG00000070831,CDC42,cad,-0.0641916313463287,0.0202311104247244,2.942e-05,37.8295,5093,0.00638819628526048,TRUE,""
ENSG00000072694,FCGR2B,cad,-0.0270431670557666,0.339549287388287,0.0005435,65.4578,5479,0.00399106307198864,TRUE,""
ENSG00000073756,PTGS2,cad,-0.257813750748694,0.00634189557347597,0.0005843,29.2672,4696,0.21228999264441,TRUE,""
