gene,symbol,outcome,grp,mr_b,mr_p,gwas_min_p,eqtl_F_max,nsnp,pp4,ok,note
ENSG00000012779,ALOX5,fbg,grey,0.0159225341876041,0.453254704753736,0.004023,26.8299,1299,0.00514865484111816,TRUE,""
ENSG00000012963,UBR7,fbg,grey,0.0109722269785281,0.427126945094663,0.0003649,43.8364,1975,0.00563616964203312,TRUE,""
ENSG00000012963,UBR7,cad,null,-0.00894033309361552,0.722710426810277,8.439e-10,43.8364,4710,0.0016876869866788,TRUE,""
ENSG00000012983,MAP4K5,cad,grey,-0.144472617316234,0.137985870280455,0.000909,10.6979,4492,0.00821647185218422,TRUE,""
ENSG00000013016,EHD3,cad,grey,-0.0801770013602379,0.154376307933322,7.104e-05,20.7201,5343,0.00788061228203383,TRUE,""
ENSG00000013288,MAN2B2,fbg,grey,0.0128872821548029,0.305060822021553,4.359e-05,53.5411,2424,0.0065129954313018,TRUE,""
ENSG00000013364,MVP,fbg,grey,-0.0441673075393345,0.160242834183085,0.007129,23.4527,456,0.0129954368741073,TRUE,""
ENSG00000013374,NUB1,fbg,grey,-0.0219674037083594,0.457568175062507,0.0003701,20.9248,1711,0.00535257453999461,TRUE,""
ENSG00000013375,PGM3,t2d,grey,0.175494223693157,0.0615442192008072,0.002292,17.1454,1894,0.0238857722574331,TRUE,""
ENSG00000013523,ANGEL1,cad,null,0.0145082169117316,0.604987669676503,0.001446,33.7304,5122,0.00310321016919113,TRUE,""
ENSG00000013523,ANGEL1,fbg,null,0.00773771568625688,0.627783826989789,0.0001049,33.7304,1985,0.00412445681558591,TRUE,""
ENSG00000013583,HEBP1,cad,grey,-0.0366508110902046,0.133614402537716,0.0003961,42.7959,5561,0.0075806929247678,TRUE,""
ENSG00000013810,TACC3,fbg,grey,0.00979393000106058,0.121529125955424,0.0002037,58.6941,1161,0.0130222430531451,TRUE,""
ENSG00000014123,UFL1,t2d,null,-0.0158024301247715,0.812268919201515,0.0003942,19.1909,3424,0.00364860838463854,TRUE,""
ENSG00000014257,ACPP,cad,null,-0.00514454229933535,0.836090649580926,2.999e-09,57.7388,5517,4.37660199959605e-05,TRUE,""
ENSG00000014641,MDH1,t2d,grey,0.0552026689468112,0.470952440870632,0.0007465,13.4077,2591,0.00502857950286636,TRUE,""
ENSG00000014919,COX15,cad,grey,0.0441290086475427,0.369958168208807,0.0002298,20.9152,469,0.000647580069902516,TRUE,""
ENSG00000015171,ZMYND11,t2d,grey,0.360333730344086,0.190285663648477,8.216e-05,7.0909,1805,0.0122763430676868,TRUE,""
ENSG00000015532,XYLT2,cad,null,0.0596047654539292,0.514288986716092,1.63e-15,13.4139,179,0.0122092797650759,TRUE,""
ENSG00000016391,CHDH,t2d,grey,0.250961363657579,0.261243542263587,6.238e-08,5.7709,3301,0.000258877735917109,TRUE,""
ENSG00000017260,ATP2C1,t2d,grey,-0.118116457690547,0.297960801234778,0.001028,15.3703,2604,0.00755289437598254,TRUE,""
ENSG00000017260,ATP2C1,fbg,grey,0.0451621749993269,0.329560259960621,0.004527,15.3703,1705,0.00875482949225508,TRUE,""
ENSG00000017260,ATP2C1,cad,null,0.0277921076918935,0.735341960129593,0.0001733,15.3703,3970,0.00326657206594595,TRUE,""
ENSG00000018510,AGPS,t2d,null,-0.0224487412559066,0.708599716762642,0.0002032,29.1843,2622,0.00499091233295105,TRUE,""
ENSG00000018699,TTC27,cad,null,0.0100795927387669,0.804760401488793,0.002478,38.5393,5757,0.00420171732201533,TRUE,""
ENSG00000019995,ZRANB1,t2d,grey,0.0613640021900178,0.264302697881567,7.427e-05,50.5825,300,3.01254635181025e-05,TRUE,""
ENSG00000020181,GPR124,fbg,null,-0.00525026652463756,0.834968706358955,0.002331,30.581,1237,0.00588540229073209,TRUE,""
ENSG00000020256,ZFP64,cad,grey,0.114198305423861,0.183989403475289,3.517e-07,14.4468,1999,0.00106565401673626,TRUE,""
ENSG00000020426,MNAT1,cad,grey,-0.151695327424821,0.42725764959836,0.0002353,9.9686,3411,0.00823350403268492,TRUE,""
ENSG00000021300,PLEKHB1,fbg,grey,0.0225930535527295,0.443701622367481,2.919e-08,28.3627,1272,0.000112918010402923,TRUE,""
ENSG00000021300,PLEKHB1,t2d,null,0.0483240312100047,0.510461244989542,8.635e-25,28.3627,2271,1.77139229933167e-20,TRUE,""
ENSG00000021355,SERPINB1,fbg,null,-0.00951386589146739,0.548506235500147,0.0005453,46.667,2274,0.00479505451297657,TRUE,""
ENSG00000021488,SLC7A9,cad,grey,0.0325581040824917,0.415481291692167,5.702e-06,30.697,5205,0.00331028899699668,TRUE,""
