ENSG,biotype
ENSG00000133027,protein_coding
ENSG00000133246,protein_coding
ENSG00000134243,protein_coding
ENSG00000124196,protein_coding
ENSG00000109920,protein_coding
ENSG00000100416,protein_coding
ENSG00000107679,protein_coding
ENSG00000135100,protein_coding
ENSG00000134852,protein_coding
ENSG00000130943,protein_coding
ENSG00000076201,protein_coding
ENSG00000125743,protein_coding
ENSG00000079459,protein_coding
ENSG00000004534,protein_coding
ENSG00000134574,protein_coding
ENSG00000123700,protein_coding
ENSG00000091140,protein_coding
ENSG00000119431,protein_coding
ENSG00000104497,protein_coding
ENSG00000011478,protein_coding
ENSG00000084112,protein_coding
ENSG00000112658,protein_coding
ENSG00000075234,protein_coding
ENSG00000133794,protein_coding
ENSG00000064999,protein_coding
ENSG00000133624,transcribed_unprocessed_pseudogene
ENSG00000125388,protein_coding
ENSG00000125977,protein_coding
ENSG00000077348,protein_coding
ENSG00000119760,protein_coding
ENSG00000101557,protein_coding
ENSG00000132475,protein_coding
ENSG00000064651,protein_coding
ENSG00000086544,protein_coding
ENSG00000030582,protein_coding
ENSG00000102755,protein_coding
ENSG00000103653,protein_coding
ENSG00000005801,protein_coding
ENSG00000138028,protein_coding
ENSG00000137825,protein_coding
ENSG00000147324,protein_coding
ENSG00000178904,protein_coding
ENSG00000163257,protein_coding
ENSG00000156873,protein_coding
ENSG00000179295,protein_coding
ENSG00000140829,protein_coding
ENSG00000165006,protein_coding
ENSG00000176268,processed_pseudogene
ENSG00000158006,protein_coding
ENSG00000136158,protein_coding
ENSG00000150961,protein_coding
ENSG00000160208,protein_coding
ENSG00000173868,protein_coding
ENSG00000158234,protein_coding
ENSG00000157045,protein_coding
ENSG00000140474,protein_coding
ENSG00000150764,protein_coding
ENSG00000166971,protein_coding
ENSG00000170581,protein_coding
ENSG00000139218,protein_coding
ENSG00000150337,protein_coding
ENSG00000147905,protein_coding
ENSG00000143126,protein_coding
ENSG00000167526,protein_coding
ENSG00000146963,protein_coding
ENSG00000166822,protein_coding
ENSG00000163113,NOT_FOUND
ENSG00000176973,protein_coding
ENSG00000158092,protein_coding
ENSG00000160207,protein_coding
ENSG00000178715,processed_pseudogene
ENSG00000151929,protein_coding
ENSG00000156206,protein_coding
ENSG00000174944,protein_coding
ENSG00000163069,protein_coding
ENSG00000177971,protein_coding
ENSG00000163875,protein_coding
ENSG00000166170,protein_coding
ENSG00000172500,protein_coding
ENSG00000168913,protein_coding
ENSG00000164050,protein_coding
ENSG00000166831,protein_coding
ENSG00000149084,protein_coding
ENSG00000170469,protein_coding
ENSG00000138439,protein_coding
ENSG00000169379,protein_coding
ENSG00000163071,protein_coding
ENSG00000168883,protein_coding
ENSG00000141034,protein_coding
ENSG00000163947,protein_coding
ENSG00000141298,protein_coding
ENSG00000175489,protein_coding
ENSG00000167549,protein_coding
ENSG00000158604,protein_coding
ENSG00000142046,protein_coding
ENSG00000164626,protein_coding
ENSG00000173930,protein_coding
ENSG00000150627,protein_coding
ENSG00000154743,protein_coding
ENSG00000166133,protein_coding
ENSG00000164308,protein_coding
ENSG00000173039,protein_coding
ENSG00000163933,protein_coding
ENSG00000145431,protein_coding
ENSG00000140391,protein_coding
ENSG00000145907,protein_coding
ENSG00000138131,protein_coding
ENSG00000162512,protein_coding
ENSG00000173327,protein_coding
ENSG00000166126,protein_coding
ENSG00000165688,protein_coding
ENSG00000146833,protein_coding
ENSG00000163785,protein_coding
ENSG00000176563,protein_coding
ENSG00000169599,protein_coding
ENSG00000177606,protein_coding
ENSG00000177051,protein_coding
ENSG00000146215,protein_coding
ENSG00000137310,protein_coding
ENSG00000170791,protein_coding
ENSG00000168255,protein_coding
ENSG00000166689,protein_coding
ENSG00000143379,protein_coding
ENSG00000143882,protein_coding
ENSG00000151465,protein_coding
ENSG00000161547,protein_coding
ENSG00000174564,protein_coding
ENSG00000161533,protein_coding
ENSG00000146830,protein_coding
ENSG00000148572,protein_coding
ENSG00000168890,protein_coding
ENSG00000173727,transcribed_unprocessed_pseudogene
ENSG00000149243,protein_coding
ENSG00000174744,protein_coding
ENSG00000143498,protein_coding
ENSG00000139746,protein_coding
ENSG00000165609,protein_coding
ENSG00000168952,protein_coding
ENSG00000173338,protein_coding
ENSG00000167106,protein_coding
ENSG00000162426,protein_coding
ENSG00000177045,protein_coding
ENSG00000181264,protein_coding
ENSG00000168917,protein_coding
ENSG00000163029,protein_coding
ENSG00000143093,protein_coding
ENSG00000169504,protein_coding
ENSG00000158161,protein_coding
ENSG00000163877,protein_coding
ENSG00000163577,protein_coding
ENSG00000181019,protein_coding
ENSG00000145214,protein_coding
ENSG00000169193,protein_coding
ENSG00000147408,protein_coding
ENSG00000168291,protein_coding
ENSG00000163660,protein_coding
ENSG00000164631,protein_coding
ENSG00000164045,protein_coding
ENSG00000153922,protein_coding
