"gene","outcome","mr_nsnp","mr_b","mr_pval","n_pqtl_cis","n_gwas_region","n_coloc","PP.H0","PP.H1","PP.H2","PP.H3","PP.H4","PP.H4_p12e6","top_snp","tier","ok","note"
"APOC3","ebi-a-GCST005194",10,0.151138570363701,0.0271451056260348,9028,6759,6059,5.17277806468209e-67,2.94691449779466e-09,6.33850133990877e-61,0.00261363681905163,0.997386360234025,0.974464273062733,"rs964184","strong",TRUE,""
"PCSK9","ebi-a-GCST005194",14,0.189688850233432,5.53611455275681e-12,8739,6695,5948,2.42461862582761e-123,4.14143580988652e-19,5.85453629452732e-108,8.91873242005546e-14,0.999999999999886,0.999999999999091,"rs11591147","strong",TRUE,""
