"gene","outcome","nsnp","b","se","pval","method","ok","note"
"PLEKHA1","ebi-a-GCST005194",13,0.0545780529430368,0.0480110216657053,0.255629536909108,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"PLEKHA1","ebi-a-GCST005194",13,0.0545780529430368,0.0273476788694606,0.0459654312728449,"Inverse variance weighted (fixed effects)",TRUE,""
"PLEKHA1","ebi-a-GCST005194",13,0.0513430774097669,0.0306274232642211,0.093664566181883,"Weighted median",TRUE,""
"PLEKHA1","ebi-a-GCST005194",13,0.0465453062959963,0.0867664408293587,0.602331887702134,"MR Egger",TRUE,""
"LHPP","ebi-a-GCST005194",22,-0.0153378562525523,0.0159972379489309,0.337668816499251,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"LHPP","ebi-a-GCST005194",22,-0.0153378562525523,0.0212500156949925,0.470429171086398,"Inverse variance weighted (fixed effects)",TRUE,""
"LHPP","ebi-a-GCST005194",22,-0.0241741832556542,0.0250737635668433,0.334984440621612,"Weighted median",TRUE,""
"LHPP","ebi-a-GCST005194",22,-0.0402135644174783,0.0338521162301101,0.248781773033419,"MR Egger",TRUE,""
"DHX32","ebi-a-GCST005194",18,0.0202243503261411,0.0190243475228947,0.287746937654019,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"DHX32","ebi-a-GCST005194",18,0.0202243503261411,0.0191017723398817,0.289705330554659,"Inverse variance weighted (fixed effects)",TRUE,""
"DHX32","ebi-a-GCST005194",18,0.0342784547463423,0.0235703354939146,0.145861788531325,"Weighted median",TRUE,""
"DHX32","ebi-a-GCST005194",18,0.0324997224517267,0.0330887498506364,0.3406219007934,"MR Egger",TRUE,""
"UROS","ebi-a-GCST005194",18,0.0520564253906055,0.0261364561062482,0.0464021113404566,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"UROS","ebi-a-GCST005194",18,0.0520564253906055,0.0271581725611335,0.0552650286062285,"Inverse variance weighted (fixed effects)",TRUE,""
"UROS","ebi-a-GCST005194",18,0.0482560697022607,0.0304145356230259,0.112600529235688,"Weighted median",TRUE,""
"UROS","ebi-a-GCST005194",18,0.0327218046183827,0.0415693806940694,0.442692259099015,"MR Egger",TRUE,""
"MTG1","ebi-a-GCST005194",4,0.0401396129546184,0.0516027342487227,0.43665257885929,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"MTG1","ebi-a-GCST005194",4,0.0401396129546184,0.0309918847869811,0.195263221325608,"Inverse variance weighted (fixed effects)",TRUE,""
"MTG1","ebi-a-GCST005194",4,0.035818229580255,0.030367755676005,0.238206190250219,"Weighted median",TRUE,""
"MTG1","ebi-a-GCST005194",4,-0.105721174659489,0.115194475648344,0.455627371128368,"MR Egger",TRUE,""
"AKR1C2","ebi-a-GCST005194",16,-0.0418824868917213,0.0285199796200899,0.141959921121098,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AKR1C2","ebi-a-GCST005194",16,-0.0418824868917213,0.0260628564591018,0.108058773845851,"Inverse variance weighted (fixed effects)",TRUE,""
"AKR1C2","ebi-a-GCST005194",16,-0.0449911963689686,0.0337191717189188,0.182108418403407,"Weighted median",TRUE,""
"AKR1C2","ebi-a-GCST005194",16,-0.0165918727865463,0.0494575373150051,0.742239409198281,"MR Egger",TRUE,""
"NCOA4","ebi-a-GCST005194",2,0.0489503758574728,0.00884670903829195,3.14488140354601e-08,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"NCOA4","ebi-a-GCST005194",2,0.0489503758574728,0.0220804539215809,0.0266292523255111,"Inverse variance weighted (fixed effects)",TRUE,""
"CETP","ebi-a-GCST005186",3,0.0517548887592086,0.0231559606414279,0.0254136158510171,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"CETP","ebi-a-GCST005186",3,0.0517548887592086,0.0283281183919899,0.0677028666805501,"Inverse variance weighted (fixed effects)",TRUE,""
"CETP","ebi-a-GCST005186",3,0.0495412583146602,0.0296756523981262,0.0950333005846647,"Weighted median",TRUE,""
"CETP","ebi-a-GCST005186",3,0.0213381072505289,0.0745270341115668,0.822476219965386,"MR Egger",TRUE,""
"HMGCR","ebi-a-GCST005186",1,NA,NA,NA,NA,FALSE,"MR 无输出"
"CASP7","ebi-a-GCST005186",7,0.00826182162452516,0.00840657318258609,0.325715163207997,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"CASP7","ebi-a-GCST005186",7,0.00826182162452516,0.0104072796719298,0.427282611958988,"Inverse variance weighted (fixed effects)",TRUE,""
"CASP7","ebi-a-GCST005186",7,0.00715368321563112,0.011496996506145,0.533795955833324,"Weighted median",TRUE,""
"CASP7","ebi-a-GCST005186",7,-0.00285656652677585,0.0212459187567896,0.898289344608571,"MR Egger",TRUE,""
"SFXN4","ebi-a-GCST005186",9,-0.0145412826612239,0.00887950898215293,0.10150049084886,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"SFXN4","ebi-a-GCST005186",9,-0.0145412826612239,0.0109024861863039,0.182283044638743,"Inverse variance weighted (fixed effects)",TRUE,""
"SFXN4","ebi-a-GCST005186",9,-0.0133953092978304,0.0126242106322543,0.288653118514165,"Weighted median",TRUE,""
"SFXN4","ebi-a-GCST005186",9,-0.0108818389422185,0.0195171606037643,0.594522359578892,"MR Egger",TRUE,""
"NANOS1","ebi-a-GCST005186",3,0.0156526172088523,0.00776292390067545,0.0437654683044144,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"NANOS1","ebi-a-GCST005186",3,0.0156526172088523,0.0129607031311662,0.22716338946268,"Inverse variance weighted (fixed effects)",TRUE,""
"NANOS1","ebi-a-GCST005186",3,0.0156531270105604,0.0129302412404487,0.226055358367537,"Weighted median",TRUE,""
"NANOS1","ebi-a-GCST005186",3,0.0232131425034886,0.0470404226724858,0.708166001255268,"MR Egger",TRUE,""
"PLEKHA1","ebi-a-GCST005186",4,-0.0394629709634786,0.0209840299134864,0.0600237288567527,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"PLEKHA1","ebi-a-GCST005186",4,-0.0394629709634786,0.0163667819493917,0.0159017614501031,"Inverse variance weighted (fixed effects)",TRUE,""
"PLEKHA1","ebi-a-GCST005186",4,-0.0398909155079372,0.0180806606580194,0.0273647278306512,"Weighted median",TRUE,""
"PLEKHA1","ebi-a-GCST005186",4,0.00172075036372091,0.0347703342957576,0.965027373156671,"MR Egger",TRUE,""
"LHPP","ebi-a-GCST005186",6,0.00629142376231674,0.0136028538482495,0.643717328413174,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"LHPP","ebi-a-GCST005186",6,0.00629142376231674,0.0144081934642585,0.662360861830915,"Inverse variance weighted (fixed effects)",TRUE,""
"LHPP","ebi-a-GCST005186",6,0.00145778117609424,0.0151677661915041,0.923432833927017,"Weighted median",TRUE,""
"LHPP","ebi-a-GCST005186",6,-0.0154223937763474,0.0231046031141999,0.540987843606206,"MR Egger",TRUE,""
"DHX32","ebi-a-GCST005186",3,0.0164496544323832,0.0139001783842871,0.236645432702401,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"DHX32","ebi-a-GCST005186",3,0.0164496544323832,0.0131931093327588,0.212457338200128,"Inverse variance weighted (fixed effects)",TRUE,""
"DHX32","ebi-a-GCST005186",3,0.0194614993831762,0.0138199858451507,0.159067672609197,"Weighted median",TRUE,""
"DHX32","ebi-a-GCST005186",3,0.0387566463181004,0.0228679894451971,0.339359160455827,"MR Egger",TRUE,""
"UROS","ebi-a-GCST005186",7,0.0236438879570916,0.0193559000948786,0.221883941760665,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"UROS","ebi-a-GCST005186",7,0.0236438879570916,0.0183156718631734,0.196734811841267,"Inverse variance weighted (fixed effects)",TRUE,""
"UROS","ebi-a-GCST005186",7,0.0214405589614446,0.0182191481874519,0.239269527632854,"Weighted median",TRUE,""
"UROS","ebi-a-GCST005186",7,0.00533323922634582,0.0283749382637084,0.858301066992442,"MR Egger",TRUE,""
"MTG1","ebi-a-GCST005186",2,-0.0922935610989722,0.022954663569298,5.80281954101068e-05,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"MTG1","ebi-a-GCST005186",2,-0.0922935610989722,0.0507872349271047,0.0691774606496337,"Inverse variance weighted (fixed effects)",TRUE,""
"AKR1C2","ebi-a-GCST005186",7,-0.0110011610823928,0.0130420720145017,0.398941435792843,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"AKR1C2","ebi-a-GCST005186",7,-0.0110011610823928,0.0188959793308567,0.560434756475767,"Inverse variance weighted (fixed effects)",TRUE,""
"AKR1C2","ebi-a-GCST005186",7,-0.0165185251005028,0.0213283387391066,0.438642741650431,"Weighted median",TRUE,""
"AKR1C2","ebi-a-GCST005186",7,-0.0290623632816938,0.0305565368030026,0.385229494893596,"MR Egger",TRUE,""
"NCOA4","ebi-a-GCST005186",3,0.0141820803704209,0.0129247182842624,0.27251747282753,"Inverse variance weighted (multiplicative random effects)",TRUE,""
"NCOA4","ebi-a-GCST005186",3,0.0141820803704209,0.0229360990636922,0.536357765989792,"Inverse variance weighted (fixed effects)",TRUE,""
"NCOA4","ebi-a-GCST005186",3,0.0138927213963977,0.0236743959743782,0.557321415524287,"Weighted median",TRUE,""
"NCOA4","ebi-a-GCST005186",3,0.0670614397694675,0.123461171126317,0.683223854079456,"MR Egger",TRUE,""
