"gene","symbol","outcome","nsnp","method","b","se","pval"
"ENSG00000081320","STK17B","t2d",3,"Inverse variance weighted (fixed effects)",0.158840989937247,0.0489587391485868,0.00117704611112954
"ENSG00000081320","STK17B","t2d",3,"Weighted median",0.157564868744356,0.0511139510481596,0.00205187240647985
"ENSG00000081320","STK17B","t2d",3,"MR Egger",0.193454846183547,0.264887932274601,0.598425890008532
"ENSG00000085721","RRN3","t2d",2,"Inverse variance weighted (fixed effects)",0.20621936113431,0.0512156320363075,5.66150309741804e-05
"ENSG00000086619","ERO1LB","t2d",2,"Inverse variance weighted (fixed effects)",0.202986598663706,0.0525696888703973,0.000112791823044484
"ENSG00000087448","KLHL42","t2d",3,"Inverse variance weighted (fixed effects)",0.287636486820605,0.0476343083041221,1.55619886672332e-09
"ENSG00000087448","KLHL42","t2d",3,"Weighted median",0.287778124428742,0.0511432062188037,1.83468343502819e-08
"ENSG00000087448","KLHL42","t2d",3,"MR Egger",0.53098885207232,0.0904621845199788,0.107426642449783
"ENSG00000095485","CWF19L1","t2d",6,"Inverse variance weighted (fixed effects)",-0.043789150915646,0.0345889261095963,0.205517528311607
"ENSG00000095485","CWF19L1","t2d",6,"Weighted median",-0.0403662267591407,0.0356052997413134,0.25691453552704
"ENSG00000095485","CWF19L1","t2d",6,"MR Egger",-0.0095812252033609,0.0753469479460294,0.904948855911055
"ENSG00000095637","SORBS1","t2d",2,"Inverse variance weighted (fixed effects)",0.51186117848276,0.156137520349929,0.00104444896761276
"ENSG00000100347","SAMM50","t2d",3,"Inverse variance weighted (fixed effects)",-0.0731640531860514,0.123577085049248,0.553815806799714
"ENSG00000100347","SAMM50","t2d",3,"Weighted median",0.0199602731734721,0.143610991041777,0.889459253322597
"ENSG00000100347","SAMM50","t2d",3,"MR Egger",0.92177663522655,0.590201234187762,0.362565458035521
"ENSG00000101057","MYBL2","t2d",2,"Inverse variance weighted (fixed effects)",-0.254761374168853,0.0580098217777585,1.12471025019842e-05
"ENSG00000101421","CHMP4B","t2d",2,"Inverse variance weighted (fixed effects)",-0.232735289493942,0.114988204495545,0.0429709001686279
"ENSG00000103091","WDR59","t2d",3,"Inverse variance weighted (fixed effects)",0.272135574952871,0.0816981135976829,0.000865378041616179
"ENSG00000103091","WDR59","t2d",3,"Weighted median",0.25875131766125,0.0834643733166644,0.00193428601833877
"ENSG00000103091","WDR59","t2d",3,"MR Egger",0.421660504757252,0.486248726328981,0.545212652760391
"ENSG00000103479","RBL2","t2d",6,"Inverse variance weighted (fixed effects)",-0.0363269088001825,0.035179765581775,0.301787363907395
"ENSG00000103479","RBL2","t2d",6,"Weighted median",0.0184911755540695,0.0400537473108962,0.644325830326101
"ENSG00000103479","RBL2","t2d",6,"MR Egger",0.065775791238199,0.186238404013704,0.741779967724358
"ENSG00000103512","NOMO1","t2d",2,"Inverse variance weighted (fixed effects)",0.129626692263428,0.0447169278067167,0.00374560043685212
"ENSG00000103540","CCP110","t2d",2,"Inverse variance weighted (fixed effects)",-0.321572131524461,0.0943503684660455,0.000653746454981497
"ENSG00000103657","HERC1","t2d",4,"Inverse variance weighted (fixed effects)",0.169304383896557,0.0796121619524769,0.0334521205490696
"ENSG00000103657","HERC1","t2d",4,"Weighted median",0.289162792142974,0.0965363715081109,0.00274106149236845
"ENSG00000103657","HERC1","t2d",4,"MR Egger",0.801794088382706,0.558441254117392,0.287564860856278
"ENSG00000105612","DNASE2","t2d",3,"Inverse variance weighted (fixed effects)",-0.0247276840299825,0.0727007657716081,0.733758914571936
"ENSG00000105612","DNASE2","t2d",3,"Weighted median",-0.00988391839274654,0.0705023829139335,0.888507750981738
"ENSG00000105612","DNASE2","t2d",3,"MR Egger",0.504490074865859,0.283457640902829,0.325892319449038
"ENSG00000105726","ATP13A1","t2d",4,"Inverse variance weighted (fixed effects)",0.330366064346814,0.0530085854522893,4.59599778366779e-10
"ENSG00000105726","ATP13A1","t2d",4,"Weighted median",0.349975090119385,0.0537576896834257,7.50342827792994e-11
"ENSG00000105726","ATP13A1","t2d",4,"MR Egger",0.390526281902493,0.101529831791238,0.0614284725526356
"ENSG00000106012","IQCE","t2d",2,"Inverse variance weighted (fixed effects)",0.36149031551884,0.131176823603591,0.00585580302835088
"ENSG00000106392","C1GALT1","t2d",6,"Inverse variance weighted (fixed effects)",0.0541227820469731,0.0288353929670697,0.0605240380976799
"ENSG00000106392","C1GALT1","t2d",6,"Weighted median",0.0638984485476024,0.0317744557354774,0.0443253966699096
"ENSG00000106392","C1GALT1","t2d",6,"MR Egger",0.0794018612551076,0.0444171850623271,0.148358124534449
"ENSG00000107679","PLEKHA1","t2d",3,"Inverse variance weighted (fixed effects)",0.153522582317204,0.0462477622222561,0.000901569089347567
"ENSG00000107679","PLEKHA1","t2d",3,"Weighted median",0.152167880570863,0.0477379232772849,0.00143474676423087
"ENSG00000107679","PLEKHA1","t2d",3,"MR Egger",0.0927264468284991,0.0763381712101254,0.438481477731182
"ENSG00000108262","GIT1","t2d",3,"Inverse variance weighted (fixed effects)",0.0929845885142927,0.0296594947158681,0.00171813179068505
"ENSG00000108262","GIT1","t2d",3,"Weighted median",0.101795597815597,0.0299690335123261,0.00068205511364948
"ENSG00000108262","GIT1","t2d",3,"MR Egger",0.151617670572974,0.0499473187181471,0.202593363933972
"ENSG00000108384","RAD51C","t2d",8,"Inverse variance weighted (fixed effects)",0.0422776249743252,0.0227021752484091,0.0625647621797722
"ENSG00000108384","RAD51C","t2d",8,"Weighted median",0.0557864490166234,0.0288614171714263,0.0532475967641902
"ENSG00000108384","RAD51C","t2d",8,"MR Egger",0.0727397290797098,0.0436292578013988,0.146517040978706
"ENSG00000108395","TRIM37","t2d",2,"Inverse variance weighted (fixed effects)",-0.0627187982644836,0.056650073861256,0.268239237639294
"ENSG00000108551","RASD1","t2d",2,"Inverse variance weighted (fixed effects)",-0.292241150158,0.0716376826912914,4.51456154699874e-05
"ENSG00000108604","SMARCD2","t2d",2,"Inverse variance weighted (fixed effects)",-0.224255166364925,0.0396937373535239,1.6078796335066e-08
"ENSG00000108771","DHX58","t2d",2,"Inverse variance weighted (fixed effects)",-0.149227817752607,0.0342663449473469,1.33104408245116e-05
"ENSG00000109501","WFS1","t2d",2,"Inverse variance weighted (fixed effects)",0.706419800363161,0.0730004047728765,3.7789342524872e-22
"ENSG00000109618","SEPSECS","t2d",2,"Inverse variance weighted (fixed effects)",0.576590975176115,0.168637434937005,0.00062824905739388
"ENSG00000110931","CAMKK2","t2d",7,"Inverse variance weighted (fixed effects)",-0.131490511250504,0.0300640004880871,1.22165816966975e-05
"ENSG00000110931","CAMKK2","t2d",7,"Weighted median",-0.132408557730653,0.0347092674837975,0.000136298930393763
"ENSG00000110931","CAMKK2","t2d",7,"MR Egger",-0.180917036449168,0.0994104434118701,0.128425751163628
"ENSG00000111642","CHD4","t2d",3,"Inverse variance weighted (fixed effects)",-0.583297096214394,0.115957414761299,4.89789802969769e-07
"ENSG00000111642","CHD4","t2d",3,"Weighted median",-0.600052921719662,0.125033770188047,1.5935885600826e-06
"ENSG00000111642","CHD4","t2d",3,"MR Egger",-0.722228564368645,0.254055589405726,0.215334979003831
"ENSG00000111879","FAM184A","t2d",2,"Inverse variance weighted (fixed effects)",0.652171102661488,0.164263869942438,7.17927198187547e-05
"ENSG00000112282","MED23","t2d",2,"Inverse variance weighted (fixed effects)",-0.318602105507891,0.0649042995772411,9.16362354960001e-07
"ENSG00000112425","EPM2A","t2d",3,"Inverse variance weighted (fixed effects)",-0.132947408601082,0.0438998774051069,0.00245833528159692
"ENSG00000112425","EPM2A","t2d",3,"Weighted median",-0.1346600790372,0.0445107657202785,0.00248355999426246
"ENSG00000112425","EPM2A","t2d",3,"MR Egger",-0.358102972754307,0.109460698182379,0.188852523022497
"ENSG00000112658","SRF","t2d",2,"Inverse variance weighted (fixed effects)",-0.743924593457581,0.201467125331395,0.000222028984245153
"ENSG00000112701","SENP6","t2d",5,"Inverse variance weighted (fixed effects)",0.125709628241589,0.0292457542871974,1.72044030863344e-05
"ENSG00000112701","SENP6","t2d",5,"Weighted median",0.118873134471014,0.0290870488077171,4.37351953676659e-05
"ENSG00000112701","SENP6","t2d",5,"MR Egger",0.0321324986510446,0.0467723770678189,0.541426541656764
"ENSG00000113790","EHHADH","t2d",2,"Inverse variance weighted (fixed effects)",-0.565210619132638,0.0678357791987969,7.9459175865237e-17
"ENSG00000114648","KLHL18","t2d",2,"Inverse variance weighted (fixed effects)",-0.386439273311829,0.108717646197523,0.000378666722671581
"ENSG00000114650","SCAP","t2d",3,"Inverse variance weighted (fixed effects)",0.175450194613808,0.037116856723669,2.27897144401555e-06
"ENSG00000114650","SCAP","t2d",3,"Weighted median",0.16763401713576,0.0362621727981005,3.78532039890903e-06
"ENSG00000114650","SCAP","t2d",3,"MR Egger",-0.0041177181276001,0.0650577786807827,0.959759943873303
"ENSG00000115211","EIF2B4","t2d",2,"Inverse variance weighted (fixed effects)",0.662968106803691,0.111736886423272,2.96911469757143e-09
"ENSG00000115216","NRBP1","t2d",4,"Inverse variance weighted (fixed effects)",-0.250739507132999,0.0446035857554993,1.89295446407776e-08
"ENSG00000115216","NRBP1","t2d",4,"Weighted median",-0.255405116448212,0.046068061441828,2.95500110916199e-08
"ENSG00000115216","NRBP1","t2d",4,"MR Egger",-0.281344449430943,0.0639280271823717,0.0479475237319659
"ENSG00000116273","PHF13","t2d",2,"Inverse variance weighted (fixed effects)",-0.257599284500257,0.0677197430732086,0.000142434391659919
"ENSG00000116299","KIAA1324","t2d",4,"Inverse variance weighted (fixed effects)",-0.0582583163882284,0.0378379221365924,0.123638216792071
"ENSG00000116299","KIAA1324","t2d",4,"Weighted median",-0.0423201310689888,0.04149004065335,0.307725150371336
"ENSG00000116299","KIAA1324","t2d",4,"MR Egger",0.0168861221311823,0.0861157337873561,0.862659886481821
"ENSG00000118520","ARG1","t2d",3,"Inverse variance weighted (fixed effects)",-0.132264785539102,0.0401428955645498,0.000984745249911859
"ENSG00000118520","ARG1","t2d",3,"Weighted median",-0.132523392916702,0.0414768429351243,0.00139773849749943
"ENSG00000118520","ARG1","t2d",3,"MR Egger",-0.190672892850354,0.0674649233770384,0.216500840648167
"ENSG00000118804","STBD1","t2d",3,"Inverse variance weighted (fixed effects)",-0.16426870293614,0.0734009684287013,0.0252234223719143
"ENSG00000118804","STBD1","t2d",3,"Weighted median",-0.17287401954217,0.0778311954376549,0.0263414473793698
"ENSG00000118804","STBD1","t2d",3,"MR Egger",-0.477349620381219,0.116101045928636,0.151889531721927
"ENSG00000119431","HDHD3","t2d",4,"Inverse variance weighted (fixed effects)",-0.0926387191437718,0.0308503626842107,0.00267472555515987
"ENSG00000119431","HDHD3","t2d",4,"Weighted median",-0.0979872178987692,0.0330893944853996,0.00306355588611001
"ENSG00000119431","HDHD3","t2d",4,"MR Egger",-0.129951911074877,0.0456020816885242,0.10423991094257
"ENSG00000122557","HERPUD2","t2d",3,"Inverse variance weighted (fixed effects)",-0.174902188383004,0.0472157920920785,0.000211962352226494
"ENSG00000122557","HERPUD2","t2d",3,"Weighted median",-0.175567713444242,0.0503942144587437,0.00049418937745503
"ENSG00000122557","HERPUD2","t2d",3,"MR Egger",-0.314360187029935,0.0782692322066345,0.155346640488349
"ENSG00000123636","BAZ2B","t2d",7,"Inverse variance weighted (fixed effects)",0.0992647730961396,0.0349224643640354,0.00447706082612588
"ENSG00000123636","BAZ2B","t2d",7,"Weighted median",0.104782628324705,0.037586099078551,0.00530668527774183
"ENSG00000123636","BAZ2B","t2d",7,"MR Egger",0.167162144871726,0.0833420235110593,0.101195536856694
"ENSG00000123700","KCNJ2","t2d",4,"Inverse variance weighted (fixed effects)",0.289302978626176,0.0751816906336818,0.000119061278614464
"ENSG00000123700","KCNJ2","t2d",4,"Weighted median",0.345828409121009,0.0893942467065856,0.000109472957461959
"ENSG00000123700","KCNJ2","t2d",4,"MR Egger",0.552942028599793,0.249764028811894,0.157269969296209
"ENSG00000124766","SOX4","t2d",5,"Inverse variance weighted (fixed effects)",0.389518564789705,0.110765074418047,0.000437080689655196
"ENSG00000124766","SOX4","t2d",5,"Weighted median",0.377972341212889,0.147011760816269,0.0101395161185748
"ENSG00000124766","SOX4","t2d",5,"MR Egger",-0.00841785360677912,0.882189316437705,0.99298576553567
"ENSG00000125686","MED1","t2d",2,"Inverse variance weighted (fixed effects)",0.327869502204699,0.0811180149600218,5.30237543015576e-05
"ENSG00000127603","MACF1","t2d",5,"Inverse variance weighted (fixed effects)",0.282519600384351,0.0427605918616225,3.92163130372784e-11
"ENSG00000127603","MACF1","t2d",5,"Weighted median",0.281876411651931,0.0436566304334552,1.0703265571438e-10
"ENSG00000127603","MACF1","t2d",5,"MR Egger",0.199630944999238,0.0927296533761527,0.120386500379591
"ENSG00000128563","PRKRIP1","t2d",2,"Inverse variance weighted (fixed effects)",-0.213481569319832,0.0701741367401678,0.00234880138487
"ENSG00000129933","MAU2","t2d",2,"Inverse variance weighted (fixed effects)",-0.0745217191524939,0.046883480025662,0.111945496350282
"ENSG00000132823","C20orf111","t2d",5,"Inverse variance weighted (fixed effects)",0.113133515913961,0.030453933238632,0.000203278808177201
"ENSG00000132823","C20orf111","t2d",5,"Weighted median",0.110180193097362,0.0307633272475389,0.000341570320400188
"ENSG00000132823","C20orf111","t2d",5,"MR Egger",0.0721747096672526,0.0456946428416001,0.212344105331711
"ENSG00000133059","DSTYK","t2d",4,"Inverse variance weighted (fixed effects)",0.0960558650180427,0.0390645840438653,0.0139363834753974
"ENSG00000133059","DSTYK","t2d",4,"Weighted median",0.0915328255130876,0.0411505482875023,0.0261255529947315
"ENSG00000133059","DSTYK","t2d",4,"MR Egger",0.0809030872514962,0.0549968418498093,0.279103942089176
"ENSG00000133624","ZNF767","t2d",4,"Inverse variance weighted (fixed effects)",0.163915554938882,0.0483379263546562,0.000696294457970588
"ENSG00000133624","ZNF767","t2d",4,"Weighted median",0.176552712718827,0.0507457865173697,0.000502988101975951
"ENSG00000133624","ZNF767","t2d",4,"MR Egger",0.245406852728485,0.0759087747235629,0.0838230903992369
"ENSG00000133808","MICALCL","t2d",6,"Inverse variance weighted (fixed effects)",0.105417576565587,0.0482558246261021,0.028921378506825
"ENSG00000133808","MICALCL","t2d",6,"Weighted median",0.129321225072105,0.0526865863520246,0.0141065778259195
"ENSG00000133808","MICALCL","t2d",6,"MR Egger",0.106394558503383,0.0965170074372513,0.332178339587639
"ENSG00000134256","CD101","t2d",2,"Inverse variance weighted (fixed effects)",0.0323688245547115,0.0954360716160625,0.734483466233728
"ENSG00000134291","TMEM106C","t2d",3,"Inverse variance weighted (fixed effects)",-0.118144338116896,0.0347427409397689,0.000672510699712463
"ENSG00000134291","TMEM106C","t2d",3,"Weighted median",-0.116238344117436,0.0339460919463169,0.000616603134699068
"ENSG00000134291","TMEM106C","t2d",3,"MR Egger",-0.0765220466577235,0.0596162080948451,0.421346325053876
"ENSG00000134825","TMEM258","t2d",2,"Inverse variance weighted (fixed effects)",-0.132138526292368,0.0387857304151631,0.000657087868362858
"ENSG00000134900","TPP2","t2d",6,"Inverse variance weighted (fixed effects)",-0.100160655872171,0.0306533898607416,0.00108493057107242
"ENSG00000134900","TPP2","t2d",6,"Weighted median",-0.100602511105718,0.0310043351140509,0.0011753787300643
"ENSG00000134900","TPP2","t2d",6,"MR Egger",-0.137169304623315,0.063886400971983,0.0983030358820268
"ENSG00000135114","OASL","t2d",4,"Inverse variance weighted (fixed effects)",0.170599671995217,0.0308172998610594,3.09738470334174e-08
"ENSG00000135114","OASL","t2d",4,"Weighted median",0.161643018312443,0.0320167151617065,4.44810012653626e-07
"ENSG00000135114","OASL","t2d",4,"MR Egger",0.138952550662698,0.158851984828305,0.473965331127483
"ENSG00000135124","P2RX4","t2d",4,"Inverse variance weighted (fixed effects)",0.133028128691046,0.0299230132035417,8.76144570902281e-06
"ENSG00000135124","P2RX4","t2d",4,"Weighted median",0.136863568440281,0.030153724454021,5.65588618254722e-06
"ENSG00000135124","P2RX4","t2d",4,"MR Egger",0.160589675708602,0.0609943730373971,0.119043224316759
"ENSG00000135924","DNAJB2","t2d",2,"Inverse variance weighted (fixed effects)",-0.186664119071544,0.119079891745492,0.116985336047794
"ENSG00000135974","C2orf49","t2d",2,"Inverse variance weighted (fixed effects)",0.727161953365152,0.176698047612448,3.8670957475069e-05
"ENSG00000136153","LMO7","t2d",2,"Inverse variance weighted (fixed effects)",-0.452335024864299,0.189133430153052,0.0167742645710644
"ENSG00000136158","SPRY2","t2d",2,"Inverse variance weighted (fixed effects)",0.304186596705332,0.0902701892645275,0.000752405630322127
"ENSG00000137801","THBS1","t2d",5,"Inverse variance weighted (fixed effects)",0.0974862421578592,0.0269169377882216,0.000292624286803881
"ENSG00000137801","THBS1","t2d",5,"Weighted median",0.106051021434744,0.0372544063448269,0.00441790569690137
"ENSG00000137801","THBS1","t2d",5,"MR Egger",0.182155556668015,0.110703276325399,0.198430156878679
"ENSG00000139746","RBM26","t2d",3,"Inverse variance weighted (fixed effects)",0.218881859483953,0.0536988157732687,4.5796902834828e-05
"ENSG00000139746","RBM26","t2d",3,"Weighted median",0.220534823106233,0.05464449188233,5.44140852396062e-05
