"GeneName","n_eqtl","min_p","islet_available"
"PRR15",1,3.88045e-09,TRUE
"PLEKHA8",1,7.40545e-12,TRUE
"GGCT",1,9.58286e-08,TRUE
"CRHR2",1,1.27695e-06,TRUE
"PDE1C",1,8.31112e-12,TRUE
"AVL9",1,2.33803e-10,TRUE
"RP11-225B17.2",1,2.32099e-08,TRUE
"KBTBD2",1,4.49354e-07,TRUE
"BMPER",1,2.61414e-09,TRUE
"DPY19L1",1,4.93386e-12,TRUE
"EEPD1",1,2.44762e-07,TRUE
"AOAH",1,2.50665e-12,TRUE
"EPDR1",1,3.01321e-22,TRUE
"STARD3NL",1,1.5537e-08,TRUE
"AMPH",1,1.62282e-06,TRUE
"CLN8",1,1.40519e-09,TRUE
"KBTBD11",1,2.26994e-11,TRUE
"MYOM2",1,1.30832e-48,TRUE
"CTD-2541M15.3",1,6.08978e-09,TRUE
"MFHAS1",1,4.56519e-09,TRUE
"ERI1",1,6.83423e-07,TRUE
"RP1L1",1,3.84393e-19,TRUE
"FAM167A",1,8.34269e-13,TRUE
"NEIL2",1,6.29533e-10,TRUE
"RP11-297N6.4",1,3.07735e-08,TRUE
"CTSB",1,1.40154e-17,TRUE
"PDGFRL",1,3.38868e-09,TRUE
"MTUS1",1,1.16056e-08,TRUE
"FGL1",1,1.12881e-26,TRUE
"SOSTDC1",2,2.70514e-07,TRUE
"NT5C3A",2,2.83543e-10,TRUE
"RP11-981G7.6",2,1.67776e-07,TRUE
"NAT1",2,7.28689e-31,TRUE
"PSD3",1,8.10747e-11,TRUE
"CSGALNACT1",1,1.31309e-06,TRUE
"NPM2",1,7.72627e-07,TRUE
"DMTN",1,2.16434e-38,TRUE
"NUDT18",1,3.4124e-15,TRUE
"C8orf58",1,9.81872e-07,TRUE
"PEBP4",1,5.05951e-11,TRUE
"TNFRSF10C",1,2.75895e-09,TRUE
"TNFRSF10A",1,4.76019e-07,TRUE
"CTC-756D1.2",1,5.34883e-11,TRUE
"ADAM28",1,4.8826e-11,TRUE
"NEFM",1,1.68999e-06,TRUE
"DOCK5",1,1.81688e-06,TRUE
"PTK2B",1,3.97906e-09,TRUE
"CHRNA2",1,1.00568e-08,TRUE
"EPHX2",1,3.42472e-40,TRUE
"CCDC25",1,4.5926e-16,TRUE
"ELP3",1,2.56704e-14,TRUE
"FZD3",1,5.53943e-08,TRUE
"LEPROTL1",1,1.79406e-07,TRUE
"GTF2E2",1,4.09486e-08,TRUE
"FOXD4",1,2.61943e-10,TRUE
"CBWD1",1,1.67839e-66,TRUE
"DOCK8",1,1.42771e-14,TRUE
"C9orf66",1,4.49871e-16,TRUE
"RP11-509J21.1",1,2.08432e-06,TRUE
"SPATA6L",1,1.88383e-06,TRUE
"RP11-6J24.6",1,7.94983e-14,TRUE
"AK3",1,7.47944e-08,TRUE
"RCL1",1,3.7323e-08,TRUE
"JAK2",1,2.42964e-06,TRUE
"PLGRKT",1,7.59089e-14,TRUE
"PDCD1LG2",1,7.61963e-08,TRUE
"MLANA",1,7.37814e-07,TRUE
"IL33",1,9.07138e-07,TRUE
"GLDC",1,3.56482e-09,TRUE
"RP11-390F4.6",1,4.32675e-07,TRUE
"RP11-390F4.3",1,1.05439e-28,TRUE
"RP11-75C9.1",1,6.20839e-22,TRUE
"MPDZ",1,2.68201e-09,TRUE
"RP11-536O18.2",1,3.77376e-16,TRUE
"CCDC171",1,4.92449e-07,TRUE
"CNTLN",1,6.68377e-22,TRUE
"ADAMTSL1",1,6.60452e-26,TRUE
"HAUS6",1,1.23833e-09,TRUE
"MTAP",1,3.90093e-06,TRUE
"RP11-145E5.5",1,1.32316e-06,TRUE
"CDKN2A",1,1.26415e-06,TRUE
"FAM154A",2,5.00947e-07,TRUE
"SLC24A2",2,4.06537e-11,TRUE
"DMRTA1",1,2.88348e-11,TRUE
"RP11-399D6.2",1,1.25012e-06,TRUE
"ACO1",1,2.19226e-08,TRUE
"GVQW1",1,4.28204e-12,TRUE
"SMU1",1,6.06367e-15,TRUE
"B4GALT1",1,3.26759e-06,TRUE
"NFX1",1,5.86625e-11,TRUE
"AQP3",1,1.60277e-25,TRUE
"RP11-384P7.7",1,2.82153e-41,TRUE
"PRSS3",1,1.20988e-06,TRUE
"NUDT2",1,8.57264e-46,TRUE
"GALT",1,1.441e-06,TRUE
"IL11RA",1,2.27574e-14,TRUE
"FANCG",1,1.59222e-14,TRUE
"PIGO",1,2.55962e-06,TRUE
"TMEM8B",1,3.98855e-12,TRUE
"HRCT1",1,9.80434e-07,TRUE
"GLIPR2",1,5.44577e-08,TRUE
"GNE",1,7.74074e-09,TRUE
"GRHPR",1,9.48184e-46,TRUE
"FRMPD1",1,1.36201e-14,TRUE
"AMIGO1",1,5.10236e-14,TRUE
"GSTM4",1,6.58832e-35,TRUE
"GSTM1",1,7.85865e-47,TRUE
"GSTM5",1,3.95885e-09,TRUE
"GSTM3",1,5.80414e-118,TRUE
"KCNC4",1,1.60771e-06,TRUE
"KCNA2",1,6.62953e-11,TRUE
"DRAM2",1,7.91735e-15,TRUE
"CHI3L2",1,1.72858e-06,TRUE
"OVGP1",1,3.67582e-08,TRUE
"DDX20",1,7.31312e-07,TRUE
"KCND3",1,8.59758e-37,TRUE
"RP11-88H9.2",1,8.98689e-22,TRUE
"ST7L",1,8.2171e-46,TRUE
"RP11-31F15.2",1,1.30683e-11,TRUE
"PHTF1",1,9.41336e-07,TRUE
"RSBN1",1,4.199e-06,TRUE
"TSPAN2",1,2.46985e-15,TRUE
"VANGL1",1,1.97825e-10,TRUE
"PTGFRN",1,7.97194e-16,TRUE
"CD101",1,4.86954e-15,TRUE
"TTF2",1,2.39348e-08,TRUE
"FAM46C",1,5.9676e-09,TRUE
"TBX15",1,2.44701e-06,TRUE
"WARS2",1,3.04507e-45,TRUE
"REG4",1,2.15193e-08,TRUE
"CCDC107",2,1.46093e-07,TRUE
"POLR1E",2,6.15464e-17,TRUE
"WNT2B",2,6.19821e-12,TRUE
"FAM72B",1,5.77236e-06,TRUE
"LINC00623",1,0.00280119,TRUE
"NOTCH2NL",1,3.80064e-17,TRUE
"RP11-458D21.5",1,2.92161e-14,TRUE
"RBM8A",1,6.21668e-07,TRUE
"RNF115",1,2.50512e-07,TRUE
"CHD1L",1,5.60021e-08,TRUE
"ACP6",1,3.74172e-29,TRUE
"MTMR11",1,1.20943e-07,TRUE
"MRPS21",1,1.0237e-19,TRUE
"RPRD2",1,3.40459e-08,TRUE
"ECM1",1,2.58048e-11,TRUE
"CTSS",1,1.50887e-17,TRUE
"SCNM1",1,4.17143e-06,TRUE
"OAZ3",1,1.43469e-06,TRUE
"COX6B1",1,5.08169e-07,TRUE
"ZBTB32",1,1.09613e-15,TRUE
"AD000671.6",1,1.45477e-16,TRUE
"U2AF1L4",1,1.15922e-24,TRUE
"C19orf55",1,1.11261e-06,TRUE
"ARHGAP33",1,1.06435e-12,TRUE
"COX7A1",1,1.62023e-07,TRUE
"LINC00665",1,2.10205e-19,TRUE
"ZFP14",1,3.04094e-06,TRUE
"ZNF260",1,7.24306e-11,TRUE
"CTD-2162K18.4",1,2.50753e-40,TRUE
"CTD-2162K18.3",1,2.73181e-22,TRUE
"ZNF585B",1,2.83113e-06,TRUE
"AC012309.5",1,4.61158e-76,TRUE
"ZNF781",1,1.39043e-28,TRUE
"CTD-2528L19.4",1,2.33408e-16,TRUE
"ZNF607",1,1.17912e-24,TRUE
"CTD-2554C21.3",1,7.91024e-07,TRUE
"C19orf33",1,1.70365e-15,TRUE
"CATSPERG",1,6.90112e-09,TRUE
"CTC-360G5.9",1,7.08856e-18,TRUE
"SARS2",1,2.59403e-10,TRUE
"CTC-360G5.8",1,1.18815e-09,TRUE
"FBXO17",1,6.07849e-10,TRUE
"FBXO27",1,2.23264e-19,TRUE
"PAPL",1,1.92937e-07,TRUE
"DYRK1B",1,4.51875e-06,TRUE
"FCGBP",1,4.10517e-19,TRUE
"PLD3",1,1.3023e-06,TRUE
"ITPKC",1,1.73918e-08,TRUE
"CTC-435M10.3",1,4.43223e-10,TRUE
"TMEM91",1,3.16593e-06,TRUE
"RP11-343N15.5",2,9.12997e-07,TRUE
"ETV2",2,9.37784e-09,TRUE
"ZNF793",2,7.1611e-08,TRUE
"IL1A",1,1.43365e-06,TRUE
"IL1RN",1,6.03095e-09,TRUE
"PSD4",1,4.64055e-09,TRUE
"PAX8",1,1.82884e-79,TRUE
"AC017074.2",1,2.93329e-06,TRUE
"STEAP3",1,2.06151e-06,TRUE
"SCTR",1,2.19663e-13,TRUE
"TMEM185B",1,5.0678e-07,TRUE
"CNTNAP5",1,2.95314e-06,TRUE
"RP11-521O16.2",1,1.46817e-07,TRUE
"RP11-521O16.1",1,2.48593e-12,TRUE
"BIN1",1,5.94235e-44,TRUE
"AC068282.3",1,3.90527e-113,TRUE
"PROC",1,2.09023e-09,TRUE
"RP5-935K16.1",1,1.15482e-30,TRUE
"RAB6C",1,3.3637e-06,TRUE
"PTPN18",1,4.50367e-08,TRUE
"C2orf27A",1,4.36551e-28,TRUE
"NCKAP5",1,7.36953e-18,TRUE
"TMEM163",1,2.45793e-07,TRUE
"ACMSD",1,5.54272e-11,TRUE
"CXCR4",1,4.31082e-08,TRUE
"LRP1B",1,4.06623e-12,TRUE
"LYPD6B",1,8.55562e-09,TRUE
"RBM43",1,1.11815e-07,TRUE
"NMI",1,6.65891e-07,TRUE
"GALNT13",1,4.6089e-07,TRUE
"AC093375.1",1,1.94267e-07,TRUE
"ERMN",1,6.19783e-25,TRUE
"DAPL1",1,7.42984e-07,TRUE
"GAST",1,4.09021e-07,TRUE
"HAP1",1,5.63533e-15,TRUE
"NT5C3B",1,1.33337e-30,TRUE
"DHX58",1,1.48264e-10,TRUE
"HSPB9",1,1.28277e-07,TRUE
"KCNH4",1,5.45918e-06,TRUE
"NAGLU",1,1.1545e-07,TRUE
"HSD17B1",1,1.55144e-10,TRUE
"TUBG1",1,1.89492e-06,TRUE
"CNTNAP1",1,5.20602e-08,TRUE
"TMEM106A",1,3.11577e-06,TRUE
"ARL4D",1,6.7701e-11,TRUE
"DUSP3",1,1.22614e-12,TRUE
"PYY",1,1.78478e-10,TRUE
"DBF4B",1,1.00009e-37,TRUE
"CCDC103",1,2.69365e-13,TRUE
"FAM187A",1,1.09274e-14,TRUE
"CCDC93",2,3.17548e-19,TRUE
"MAP3K2",2,7.54297e-10,TRUE
"NAGS",2,1.05759e-06,TRUE
"C1QL1",1,3.24786e-11,TRUE
"NMT1",1,1.52566e-09,TRUE
"DCAKD",1,2.33888e-06,TRUE
"SPATA32",1,9.00973e-07,TRUE
"ARHGAP27",1,6.81764e-08,TRUE
"PLEKHM1",1,2.8784e-11,TRUE
"MAPT",1,4.87552e-24,TRUE
"KANSL1",1,2.6734e-15,TRUE
"LRRC37A",1,1.12833e-36,TRUE
"ARL17B",1,9.01208e-23,TRUE
"LRRC37A2",1,1.40513e-45,TRUE
"ARL17A",1,2.29176e-38,TRUE
"NSF",1,6.6288e-15,TRUE
"WNT3",1,2.64081e-14,TRUE
"GOSR2",1,5.00054e-07,TRUE
"EFCAB13",1,1.17213e-34,TRUE
"TBKBP1",1,6.10288e-23,TRUE
"GUCA1C",1,1.05996e-11,TRUE
"PLCXD2",1,8.75656e-11,TRUE
"ABHD10",1,6.07469e-09,TRUE
"TAGLN3",1,4.75282e-19,TRUE
"C3orf52",1,2.79077e-10,TRUE
"SLC9C1",1,2.00664e-12,TRUE
"SLC35A5",1,1.99868e-06,TRUE
"CCDC80",1,6.20613e-08,TRUE
"GTPBP8",1,3.6069e-11,TRUE
"SIDT1",1,3.91881e-31,TRUE
"GRAMD1C",1,1.89799e-13,TRUE
"RP11-484M3.5",1,2.60687e-12,TRUE
"UPK1B",1,1.67425e-15,TRUE
"POGLUT1",1,1.15629e-29,TRUE
"ADPRH",1,8.10495e-17,TRUE
"MAATS1",1,1.14862e-34,TRUE
"STXBP5L",1,2.55759e-06,TRUE
"IQCB1",1,9.31679e-61,TRUE
"EAF2",1,2.95788e-07,TRUE
"CCDC58",1,7.33294e-08,TRUE
"PARP9",1,9.50721e-07,TRUE
"PARP15",1,1.45643e-06,TRUE
"ADCY5",1,2.6062e-45,TRUE
"KALRN",1,2.37826e-06,TRUE
"RP11-71H17.9",1,3.8274e-28,TRUE
"SLC12A8",1,4.8016e-20,TRUE
"OSBPL11",1,3.24817e-07,TRUE
"RP11-379B18.5",1,2.27721e-08,TRUE
"RP11-798G7.6",2,4.60367e-22,TRUE
"CRHR1",2,6.67318e-50,TRUE
"GCSAM",2,6.29454e-08,TRUE
"RP11-572M11.3",2,1.33012e-06,TRUE
"QTRTD1",2,6.16333e-07,TRUE
"ALG1L",1,3.36815e-21,TRUE
"SLC41A3",1,1.80759e-12,TRUE
"TPRA1",1,1.42604e-07,TRUE
"SIPA1",1,3.51181e-08,TRUE
"OVOL1",1,5.89503e-10,TRUE
"EFEMP2",1,5.15105e-07,TRUE
"FIBP",1,5.5511e-06,TRUE
"EIF1AD",1,2.38525e-08,TRUE
"SF3B2",1,1.48777e-06,TRUE
"CTD-3074O7.11",1,4.02418e-10,TRUE
"BBS1",1,4.79286e-09,TRUE
"CTD-3074O7.12",1,1.68974e-08,TRUE
"CTSF",1,4.51522e-15,TRUE
"C11orf80",1,1.40089e-19,TRUE
"PC",1,4.10158e-07,TRUE
"RHOD",1,6.07981e-14,TRUE
"PTPRCAP",1,3.36994e-14,TRUE
"GSTP1",1,1.63687e-10,TRUE
"ACY3",1,1.33435e-06,TRUE
"ALDH3B1",1,1.33151e-08,TRUE
"GAL",1,1.98643e-11,TRUE
"RP11-757G1.6",1,1.03746e-25,TRUE
"MRPL21",1,8.13647e-89,TRUE
"IGHMBP2",1,5.76138e-19,TRUE
"TPCN2",1,6.22432e-08,TRUE
"SHANK2",1,3.98911e-06,TRUE
"FAM86C1",1,9.19186e-07,TRUE
"PDE2A",1,9.06499e-07,TRUE
"ARAP1",1,3.2525e-08,TRUE
"STARD10",1,1.74256e-35,TRUE
"PLEKHB1",1,1.06371e-18,TRUE
"MRPL48",1,1.35124e-11,TRUE
"PAAF1",1,5.37006e-18,TRUE
"UCP2",1,1.30378e-08,TRUE
"P4HA3",1,2.07619e-11,TRUE
"KCNE3",1,6.38661e-11,TRUE
"XRRA1",1,1.39475e-84,TRUE
"RPS3",1,9.01004e-07,TRUE
"RP11-111M22.3",1,1.08677e-13,TRUE
"CAPN5",1,1.42921e-06,TRUE
"MYO7A",1,2.55237e-10,TRUE
"AQP11",1,5.25815e-10,TRUE
"AAMDC",1,1.34251e-07,TRUE
"INTS4",1,3.56499e-15,TRUE
"KCTD14",1,9.01081e-08,TRUE
"NDUFC2-KCTD14",1,9.57342e-09,TRUE
"NDUFC2",1,1.61868e-12,TRUE
"USP35",1,7.74985e-08,TRUE
"ROPN1B",2,6.68542e-24,TRUE
"RPS6KB2",2,4.01438e-07,TRUE
"RP11-452H21.4",1,1.74727e-06,TRUE
"C11orf82",1,2.12924e-11,TRUE
"RAB30-AS1",1,8.0054e-15,TRUE
"RP11-113K21.4",1,2.30357e-13,TRUE
"CCDC90B",1,1.29451e-10,TRUE
"C11orf73",1,2.62159e-06,TRUE
"CTD-2005H7.1",1,2.4821e-06,TRUE
"RAB38",1,4.74332e-08,TRUE
"CTSC",1,1.6853e-07,TRUE
"NAALAD2",1,2.50296e-19,TRUE
"MTNR1B",1,5.282e-21,TRUE
"CCDC67",1,4.32451e-85,TRUE
"SMCO4",1,1.04371e-30,TRUE
"C11orf54",1,3.48366e-86,TRUE
"VSTM5",1,4.94341e-07,TRUE
"HEPHL1",1,5.1413e-45,TRUE
"PANX1",1,4.78807e-09,TRUE
"GTPBP4",1,4.58428e-07,TRUE
"IDI2",1,5.70614e-31,TRUE
"PITRM1",1,3.86118e-17,TRUE
"AKR1E2",1,1.24654e-07,TRUE
"AKR1C1",1,1.02896e-14,TRUE
"AKR1C2",1,1.56218e-09,TRUE
"UCN3",1,1.70911e-07,TRUE
"RP11-336A10.5",1,5.68925e-07,TRUE
"GDI2",1,9.0492e-14,TRUE
"PRKCQ",1,5.42215e-07,TRUE
"LINC00707",1,5.03329e-13,TRUE
"ECHDC3",1,1.26092e-21,TRUE
"CAMK1D",1,1.8988e-24,TRUE
"PHYH",1,1.40038e-16,TRUE
"MEIG1",1,6.71658e-08,TRUE
"ACBD7",1,3.4871e-07,TRUE
"NMT2",1,1.4153e-13,TRUE
"PTER",1,7.63398e-10,TRUE
"C1QL3",1,2.91417e-75,TRUE
"RSU1",1,1.30056e-15,TRUE
"TRDMT1",1,1.54748e-12,TRUE
"VIM",1,1.00449e-06,TRUE
"TMEM236",2,5.67837e-13,TRUE
"MRC1",1,6.08657e-15,TRUE
"NSUN6",1,6.98619e-07,TRUE
"PRTFDC1",1,1.92959e-13,TRUE
"GPR158",1,3.11324e-06,TRUE
"APBB1IP",1,1.32768e-74,TRUE
"MASTL",1,1.4857e-23,TRUE
"RP11-85G18.6",1,5.09908e-16,TRUE
"NARS2",2,2.81438e-32,TRUE
"MRC1L1",2,1.42713e-20,TRUE
"PTCHD3",1,3.26186e-20,TRUE
"MPP7",1,1.05792e-08,TRUE
"WAC",1,7.79872e-08,TRUE
"MTPAP",1,6.26313e-13,TRUE
"MAP3K8",1,9.45666e-09,TRUE
"C10orf68",1,1.04242e-13,TRUE
"RP11-479G22.8",1,2.23216e-39,TRUE
"RP11-258F22.1",1,5.74343e-06,TRUE
"ZNF37A",1,6.26746e-10,TRUE
"RP11-508N22.12",1,8.0237e-07,TRUE
"LINC00839",1,3.22914e-13,TRUE
"RET",1,2.9118e-06,TRUE
"RP11-351D16.3",1,1.63532e-14,TRUE
"ENPP5",1,2.58538e-22,TRUE
"SLC25A27",1,1.91892e-11,TRUE
"TDRD6",1,6.6422e-14,TRUE
"RP11-385F7.1",1,4.61779e-15,TRUE
"MUT",1,7.19206e-65,TRUE
"CENPQ",1,1.40812e-06,TRUE
"CRISP3",1,2.48797e-10,TRUE
"PAQR8",1,6.7587e-09,TRUE
"RP11-411K7.1",1,1.72585e-10,TRUE
"FAM83B",1,1.02855e-09,TRUE
"BMP5",1,1.82027e-08,TRUE
"COL21A1",1,4.23968e-07,TRUE
"BEND6",1,8.12348e-32,TRUE
"XXbac-BPGBPG55C20.1",1,2.13574e-06,TRUE
"XXbac-BPGBPG55C20.2",1,4.17483e-10,TRUE
"LGSN",1,4.95061e-10,TRUE
"FAM135A",1,1.43953e-09,TRUE
"C6orf57",1,5.52925e-15,TRUE
"RP11-134K13.4",1,3.42127e-09,TRUE
"RP11-257K9.8",1,1.56709e-08,TRUE
"DDX43",1,6.87266e-12,TRUE
"OOEP",1,9.85508e-08,TRUE
"MTO1",1,4.91357e-10,TRUE
"FILIP1",1,2.29113e-21,TRUE
"MEI4",1,6.26296e-08,TRUE
"IRAK1BP1",1,3.03621e-48,TRUE
"ELOVL4",1,8.74919e-25,TRUE
"RP11-250B2.6",1,1.99623e-11,TRUE
"RP11-379B8.1",1,3.03239e-11,TRUE
"IBTK",1,1.33087e-08,TRUE
"DOPEY1",1,1.44596e-06,TRUE
"PRSS35",1,1.53899e-09,TRUE
"SNAP91",1,2.19992e-14,TRUE
"ZNF25",2,3.45229e-08,TRUE
"AL022344.7",2,8.0745e-08,TRUE
"TMEM14A",2,7.59143e-20,TRUE
"MB21D1",2,1.82847e-06,TRUE
"SMIM8",1,3.03181e-21,TRUE
"C6orf164",1,1.09927e-07,TRUE
"RARS2",1,3.81757e-09,TRUE
"AKIRIN2",1,3.73778e-08,TRUE
"ANKRD6",1,8.37649e-12,TRUE
"LYRM2",1,2.51684e-07,TRUE
"MANEA",1,1.97122e-10,TRUE
"FUT9",1,1.09805e-21,TRUE
"NDUFAF4",1,3.79054e-10,TRUE
"MMS22L",1,5.13771e-06,TRUE
"FBXL4",1,6.85493e-07,TRUE
"FAXC",1,4.38288e-09,TRUE
"USP45",1,4.43045e-13,TRUE
"ASCC3",1,2.39707e-08,TRUE
"HACE1",1,2.6342e-12,TRUE
"RTN4IP1",1,6.62794e-08,TRUE
"QRSL1",1,1.44599e-33,TRUE
"RP1-60O19.1",1,9.87673e-16,TRUE
"PDSS2",1,9.21995e-16,TRUE
"SCML4",1,4.36702e-27,TRUE
"SMPD2",1,1.96368e-09,TRUE
"AK9",1,3.30361e-15,TRUE
"METTL24",1,1.0387e-07,TRUE
"DDO",1,6.34901e-20,TRUE
"SLC22A16",1,8.39326e-14,TRUE
"KIAA1919",1,1.83972e-16,TRUE
"FAM229B",1,4.11147e-20,TRUE
"FRK",1,4.36557e-21,TRUE
"TSPYL1",1,3.06947e-08,TRUE
"SLC26A10",1,3.01957e-08,TRUE
"OS9",1,1.0835e-07,TRUE
"RP11-571M6.15",1,8.51411e-10,TRUE
"TSFM",1,3.43997e-17,TRUE
"RP11-620J15.3",1,3.18054e-14,TRUE
"XRCC6BP1",1,3.59986e-57,TRUE
"PPM1H",1,9.39707e-13,TRUE
"DPY19L2",1,1.62174e-41,TRUE
"GNS",1,1.76963e-07,TRUE
"RP11-766N7.3",1,1.13793e-14,TRUE
"TMBIM4",1,5.62769e-22,TRUE
"HELB",1,4.47168e-29,TRUE
"MDM1",1,1.90776e-06,TRUE
"NUP107",1,7.89438e-11,TRUE
"CPM",1,2.2657e-10,TRUE
"LYZ",1,7.62038e-09,TRUE
"BEST3",1,1.09239e-24,TRUE
"RP11-30P6.6",2,2.96809e-19,TRUE
"RP1-102H19.8",2,4.55027e-07,TRUE
"METTL21B",2,3.05064e-31,TRUE
"YEATS4",2,3.85117e-23,TRUE
"RAB3IP",1,1.56258e-08,TRUE
"AC025263.3",1,1.41963e-08,TRUE
"KCNMB4",1,8.60819e-07,TRUE
"GLIPR1L2",1,2.26597e-76,TRUE
"KRR1",1,3.34551e-07,TRUE
"BBS10",1,2.24697e-11,TRUE
"E2F7",1,1.3866e-06,TRUE
"RP1-34H18.1",1,3.52015e-17,TRUE
"NAV3",1,1.37715e-09,TRUE
"PAWR",1,2.41941e-06,TRUE
"LIN7A",1,4.40617e-11,TRUE
"PPFIA2",1,4.07203e-14,TRUE
"TMTC2",1,2.95294e-07,TRUE
"NUDT4",1,7.6091e-10,TRUE
"MRPL42",1,1.31392e-14,TRUE
"NDUFA12",1,1.13359e-18,TRUE
"VEZT",1,1.20842e-06,TRUE
"USP44",1,1.35825e-10,TRUE
"AMDHD1",1,4.14754e-34,TRUE
"NEDD1",1,2.23887e-07,TRUE
"IKBIP",1,2.36994e-30,TRUE
"SLC5A8",1,2.56106e-14,TRUE
"CHPT1",1,7.93301e-44,TRUE
"SYCP3",1,2.32016e-17,TRUE
"DRAM1",1,3.71305e-11,TRUE
"CCDC53",1,5.92506e-15,TRUE
"NT5DC3",1,6.80903e-29,TRUE
"HSP90B1",1,2.78265e-10,TRUE
"C12orf73",1,3.67039e-14,TRUE
"CHST11",1,1.0127e-06,TRUE
"KIAA1033",1,1.82994e-06,TRUE
"TCP11L2",1,5.00807e-10,TRUE
"RFX4",1,3.65992e-11,TRUE
"METTL18",1,1.76439e-33,TRUE
"GORAB",1,1.06929e-09,TRUE
"FMO3",1,1.27788e-06,TRUE
"FMO4",1,7.40687e-14,TRUE
"PRRC2C",1,2.29335e-06,TRUE
"VAMP4",1,1.32147e-06,TRUE
"SUCO",1,7.84369e-09,TRUE
"DARS2",1,2.0037e-07,TRUE
"KIAA0040",1,7.31122e-07,TRUE
"SEC16B",1,6.02978e-10,TRUE
"ANGPTL1",1,1.61314e-07,TRUE
"FAM20B",1,4.65973e-12,TRUE
"MYRFL",2,1.53132e-24,TRUE
"MGAT4C",2,6.00015e-10,TRUE
"CCDC38",2,2.65848e-07,TRUE
"SERPINC1",2,2.47944e-13,TRUE
"MRPS14",2,1.16892e-06,TRUE
"TOR3A",1,1.59511e-13,TRUE
"TDRD5",1,2.0171e-81,TRUE
"TOR1AIP1",1,5.09075e-06,TRUE
"RP11-309G3.3",1,2.79408e-06,TRUE
"RNASEL",1,2.90782e-06,TRUE
"COLGALT2",1,6.02304e-14,TRUE
"TSEN15",1,7.71383e-10,TRUE
"SWT1",1,3.02846e-07,TRUE
"RGS2",1,3.26494e-09,TRUE
"ZBTB41",1,3.76313e-07,TRUE
"CRB1",1,2.69738e-10,TRUE
"DDX59",1,1.12363e-22,TRUE
"ASCL5",1,1.01838e-12,TRUE
"TMEM9",1,7.89151e-31,TRUE
"IGFN1",1,1.61763e-06,TRUE
"TNNI1",1,6.68455e-67,TRUE
"CSRP1",1,4.84741e-14,TRUE
"SHISA4",1,1.26528e-06,TRUE
"KDM5B",1,4.49627e-07,TRUE
"KLHL12",1,1.39024e-08,TRUE
"CHI3L1",1,1.87727e-17,TRUE
"CHIT1",1,9.40961e-11,TRUE
"RP11-134P9.1",1,2.4197e-23,TRUE
"FMOD",1,1.72211e-09,TRUE
"MFSD4",1,4.40902e-12,TRUE
"ELK4",1,2.25873e-06,TRUE
"RAB7L1",1,4.3715e-13,TRUE
"PM20D1",1,4.94701e-42,TRUE
"C4BPB",1,1.63438e-07,TRUE
"C4BPA",1,5.73234e-40,TRUE
"RP11-268J15.5",1,4.11257e-06,TRUE
"SNIP1",1,1.55939e-07,TRUE
"DNALI1",1,8.97323e-33,TRUE
"GNL2",1,4.62073e-12,TRUE
"C1orf109",1,4.66359e-11,TRUE
"INPP5B",1,1.31733e-13,TRUE
"FHL3",1,1.62433e-13,TRUE
"NDUFS5",1,5.2096e-67,TRUE
"BMP8A",1,7.29823e-15,TRUE
"HPCAL4",1,8.24505e-08,TRUE
"PPIE",1,3.72912e-16,TRUE
"OXCT2",1,8.61001e-14,TRUE
"BMP8B",1,4.70288e-19,TRUE
"TRIT1",1,1.04233e-26,TRUE
"PPT1",1,6.51437e-09,TRUE
"COL9A2",1,4.03145e-18,TRUE
"ZFP69",1,3.36536e-14,TRUE
"AXDND1",2,7.79323e-27,TRUE
"EDEM3",2,3.39872e-07,TRUE
"ZMPSTE24",2,1.48671e-12,TRUE
"EXO5",1,3.43262e-14,TRUE
"FOXO6",1,5.19154e-09,TRUE
"ZMYND12",1,2.02309e-08,TRUE
"YBX1",1,3.34867e-06,TRUE
"ERMAP",1,1.06227e-06,TRUE
"CCDC23",1,1.96119e-18,TRUE
"ZNF691",1,2.79648e-06,TRUE
"SLC2A1",1,3.33748e-08,TRUE
"FAM183A",1,8.95846e-07,TRUE
"HYI",1,9.90951e-11,TRUE
"DMAP1",1,9.37013e-11,TRUE
"RPS8",1,1.60399e-06,TRUE
"ZSWIM5",1,4.27554e-08,TRUE
"MUTYH",1,1.04099e-06,TRUE
"TESK2",1,2.32984e-07,TRUE
"MMACHC",1,2.57476e-07,TRUE
"CCDC163P",1,3.99999e-89,TRUE
"TMEM69",1,2.52193e-07,TRUE
"NSUN4",1,5.53155e-28,TRUE
"PDZK1IP1",1,4.60694e-09,TRUE
"SLC5A9",1,2.43963e-09,TRUE
"ELAVL4",1,1.06387e-06,TRUE
"TTC39A",1,5.07471e-08,TRUE
"CC2D1B",1,2.08294e-06,TRUE
"ZCCHC11",1,1.00844e-07,TRUE
"GPX7",1,6.16505e-75,TRUE
"ECHDC2",1,3.59562e-07,TRUE
"PODN",1,8.29107e-15,TRUE
"C1orf123",1,9.41495e-14,TRUE
"LDLRAD1",1,1.21765e-07,TRUE
"RP4-758J24.5",1,2.33301e-10,TRUE
"TCEANC2",1,2.4653e-08,TRUE
"FAM151A",1,1.04843e-12,TRUE
"MROH7",1,3.27105e-12,TRUE
"TTC22",1,1.20959e-06,TRUE
"GATAD1",1,1.68781e-06,TRUE
"SAMD9L",1,1.38178e-10,TRUE
"BET1",1,1.43339e-06,TRUE
"PON1",1,5.3731e-53,TRUE
"PON3",1,3.59726e-08,TRUE
