"GeneName","n_eqtl","min_p","islet_available"
"LINC00654",1,1.61842e-25,TRUE
"MCM8",1,1.76519e-07,TRUE
"SPTLC3",1,1.90891e-06,TRUE
"KIF16B",1,1.41583e-13,TRUE
"MGME1",1,8.04343e-09,TRUE
"RBBP9",1,1.93447e-12,TRUE
"SLC52A3",2,2.45331e-11,TRUE
"SIRPB1",2,2.64743e-87,TRUE
"SEC23B",1,7.36048e-16,TRUE
"RP5-1068E13.7",1,9.24155e-07,TRUE
"NAA20",1,1.01987e-08,TRUE
"C20orf26",1,2.54449e-06,TRUE
"RP4-737E23.2",1,9.60287e-25,TRUE
"NAPB",1,3.69229e-09,TRUE
"CST2",1,7.78541e-14,TRUE
"SYNDIG1",1,1.09918e-15,TRUE
"ENTPD6",1,1.49599e-07,TRUE
"ABHD12",1,1.66149e-17,TRUE
"NINL",1,4.34998e-09,TRUE
"FAM182B",1,1.07412e-44,TRUE
"RP4-610C12.3",1,1.9025e-15,TRUE
"FRG1B",1,9.7658e-08,TRUE
"DUSP15",1,5.31137e-06,TRUE
"CCM2L",1,4.72061e-06,TRUE
"DNMT3B",1,5.26084e-07,TRUE
"MAPRE1",1,1.9385e-10,TRUE
"AHCY",1,5.38297e-06,TRUE
"GGT7",1,7.86369e-06,TRUE
"PROCR",1,5.8826e-17,TRUE
"RP4-614O4.12",1,2.37064e-10,TRUE
"MMP24",1,8.25304e-13,TRUE
"EDEM2",1,6.04293e-06,TRUE
"EIF6",1,1.32437e-05,TRUE
"UQCC1",1,2.92605e-18,TRUE
"CPNE1",1,4.70836e-43,TRUE
"RP1-309K20.6",1,2.50665e-23,TRUE
"SAMSN1",1,4.07509e-08,TRUE
"CHODL",1,1.32482e-08,TRUE
"AP000230.1",1,1.03456e-08,TRUE
"RWDD2B",1,1.46115e-11,TRUE
"CCT8",1,4.64743e-14,TRUE
"MAP3K7CL",1,8.17469e-11,TRUE
"TIAM1",1,1.1131e-08,TRUE
"SCAF4",1,9.82479e-07,TRUE
"URB1",1,1.474e-07,TRUE
"C21orf119",1,1.28881e-17,TRUE
"TCP10L",1,1.14914e-10,TRUE
"C21orf49",1,2.44402e-06,TRUE
"IFNAR2",1,7.01649e-11,TRUE
"IL10RB",1,2.44615e-06,TRUE
"AP000295.10",1,2.50342e-06,TRUE
"IFNAR1",1,1.50809e-08,TRUE
"DNAJC28",1,1.35974e-06,TRUE
"RP4-610C12.4",2,1.90289e-20,TRUE
"ACSS2",2,3.74338e-06,TRUE
"MRPL39",2,7.95093e-57,TRUE
"CYYR1",2,1.31678e-08,TRUE
"N6AMT1",2,2.08031e-12,TRUE
"ITSN1",1,2.80546e-06,TRUE
