set,source,term_id,term_name,p_value_gSCS,query_size,term_size,n_intersect,genes
coding56,REAC,REAC:R-HSA-397014,Muscle contraction,1.0,32,203,1,PARVA
coding56,REAC,REAC:R-HSA-68875,Mitotic Prophase,1.0,32,134,1,EIF2B2
coding56,REAC,REAC:R-HSA-1362409,Mitochondrial iron-sulfur cluster biogenesis,1.0,32,11,1,ZNF430
coding56,REAC,REAC:R-HSA-9836573,Mitochondrial RNA degradation,1.0,32,9,1,MLH3
coding56,REAC,REAC:R-HSA-8957322,Metabolism of steroids,1.0,32,151,1,KCNJ11
coding56,REAC,REAC:R-HSA-196071,Metabolism of steroid hormones,1.0,32,35,1,KCNJ11
coding56,REAC,REAC:R-HSA-392499,Metabolism of proteins,1.0,32,2066,5,DAGLB;DCAF16;PGAP3;SIK2;ZNF236
coding56,REAC,REAC:R-HSA-189445,Metabolism of porphyrins,1.0,32,25,1,BMPR1A
coding56,REAC,REAC:R-HSA-556833,Metabolism of lipids,1.0,32,747,4,EIF2B2;FAM184A;KCNJ11;RC3H2
coding56,REAC,REAC:R-HSA-71291,Metabolism of amino acids and derivatives,1.0,32,363,1,MED23
coding56,REAC,REAC:R-HSA-8953854,Metabolism of RNA,1.0,32,710,2,FCHO1;MLH3
coding56,REAC,REAC:R-HSA-1430728,Metabolism,1.0,32,2143,8,BMPR1A;EIF2B2;FAM184A;KCNJ11;MED23;PARVA;RC3H2;ZNF430
coding56,REAC,REAC:R-HSA-199991,Membrane Trafficking,1.0,32,626,1,TMEM136
coding56,REAC,REAC:R-HSA-912446,Meiotic recombination,1.0,32,88,1,LOXL4
coding56,REAC,REAC:R-HSA-1500620,Meiosis,1.0,32,118,1,LOXL4
coding56,REAC,REAC:R-HSA-9854311,Maturation of TCA enzymes and regulation of TCA cycle,1.0,32,18,1,ZNF430
coding56,REAC,REAC:R-HSA-1257604,PIP3 activates AKT signaling,1.0,32,257,1,KDM5A
coding56,REAC,REAC:R-HSA-1852241,Organelle biogenesis and maintenance,1.0,32,293,1,ARL13B
coding56,REAC,REAC:R-HSA-198725,Nuclear Events (kinase and transcription factor activation),1.0,32,60,1,KDM5A
coding56,REAC,REAC:R-HSA-2980766,Nuclear Envelope Breakdown,1.0,32,47,1,EIF2B2
coding56,REAC,REAC:R-HSA-427413,NoRC negatively regulates rRNA expression,1.0,32,105,1,THAP8
coding56,REAC,REAC:R-HSA-6798695,Neutrophil degranulation,1.0,32,476,2,DAGLB;MED23
coding56,REAC,REAC:R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,1.0,32,195,1,NTAN1
coding56,REAC,REAC:R-HSA-112316,Neuronal System,1.0,32,399,2,NTAN1;PARVA
coding56,REAC,REAC:R-HSA-9675108,Nervous system development,1.0,32,568,1,NTAN1
coding56,REAC,REAC:R-HSA-6807004,Negative regulation of MET activity,1.0,32,20,1,LRIG1
coding56,REAC,REAC:R-HSA-5250941,Negative epigenetic regulation of rRNA expression,1.0,32,108,1,THAP8
coding56,REAC,REAC:R-HSA-8951664,Neddylation,1.0,32,244,2,DCAF16;ZNF236
coding56,REAC,REAC:R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,1.0,32,45,1,PGAP3
coding56,REAC,REAC:R-HSA-9029558,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,1.0,32,8,1,PGAP3
coding56,REAC,REAC:R-HSA-9632974,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ,1.0,32,5,1,PGAP3
coding56,REAC,REAC:R-HSA-9031628,NGF-stimulated transcription,1.0,32,38,1,KDM5A
coding56,REAC,REAC:R-HSA-9012999,RHO GTPase cycle,1.0,32,449,2,ARL13B;NTAN1
coding56,REAC,REAC:R-HSA-9013423,RAC3 GTPase cycle,1.0,32,94,1,NTAN1
coding56,REAC,REAC:R-HSA-9013404,RAC2 GTPase cycle,1.0,32,88,1,NTAN1
coding56,REAC,REAC:R-HSA-9013149,RAC1 GTPase cycle,1.0,32,184,1,NTAN1
coding56,REAC,REAC:R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,1.0,32,276,1,FCHO1
coding56,REAC,REAC:R-HSA-9679191,Potential therapeutics for SARS,1.0,32,150,1,KDM5A
coding56,REAC,REAC:R-HSA-1296071,Potassium Channels,1.0,32,103,1,PARVA
coding56,REAC,REAC:R-HSA-597592,Post-translational protein modification,1.0,32,1453,3,DCAF16;PGAP3;ZNF236
coding56,REAC,REAC:R-HSA-438064,Post NMDA receptor activation events,1.0,32,75,1,NTAN1
coding56,REAC,REAC:R-HSA-5250913,Positive epigenetic regulation of rRNA expression,1.0,32,104,1,KDM5A
coding56,REAC,REAC:R-HSA-76002,"Platelet activation, signaling and aggregation",1.0,32,259,2,DGKQ;SAP130
coding56,REAC,REAC:R-HSA-8964043,Plasma lipoprotein clearance,1.0,32,36,1,CDC123
coding56,REAC,REAC:R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",1.0,32,71,1,CDC123
coding56,REAC,REAC:R-HSA-1483257,Phospholipid metabolism,1.0,32,211,1,EIF2B2
coding56,REAC,REAC:R-HSA-6807070,PTEN Regulation,1.0,32,138,1,KDM5A
coding56,REAC,REAC:R-HSA-1989781,PPARA activates gene expression,1.0,32,113,2,FAM184A;RC3H2
coding56,REAC,REAC:R-HSA-446388,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,1.0,32,8,1,BLOC1S2
coding56,REAC,REAC:R-HSA-6804758,Regulation of TP53 Activity through Acetylation,1.0,32,30,1,KDM5A
coding56,REAC,REAC:R-HSA-5633007,Regulation of TP53 Activity,1.0,32,160,1,KDM5A
coding56,REAC,REAC:R-HSA-8943724,Regulation of PTEN gene transcription,1.0,32,59,1,KDM5A
coding56,REAC,REAC:R-HSA-72731,Recycling of eIF2:GDP,1.0,32,8,1,SIK2
coding56,REAC,REAC:R-HSA-9833110,RSV-host interactions,1.0,32,97,2,FAM184A;RC3H2
coding56,REAC,REAC:R-HSA-73856,RNA Polymerase II Transcription Termination,1.0,32,65,1,FCHO1
coding56,REAC,REAC:R-HSA-73857,RNA Polymerase II Transcription,1.0,32,1352,7,FAM184A;FCHO1;KDM5A;LIPA;RC3H2;SPDYE2;ZNF268
coding56,REAC,REAC:R-HSA-73762,RNA Polymerase I Transcription Initiation,1.0,32,47,1,KDM5A
coding56,REAC,REAC:R-HSA-73864,RNA Polymerase I Transcription,1.0,32,110,1,KDM5A
coding56,REAC,REAC:R-HSA-73854,RNA Polymerase I Promoter Clearance,1.0,32,109,1,KDM5A
coding56,REAC,REAC:R-HSA-9013424,RHOV GTPase cycle,1.0,32,37,1,NTAN1
coding56,REAC,REAC:R-HSA-9013420,RHOU GTPase cycle,1.0,32,39,1,NTAN1
coding56,REAC,REAC:R-HSA-9013406,RHOQ GTPase cycle,1.0,32,59,2,ARL13B;NTAN1
coding56,REAC,REAC:R-HSA-9013409,RHOJ GTPase cycle,1.0,32,55,2,ARL13B;NTAN1
coding56,REAC,REAC:R-HSA-9706019,RHOBTB3 ATPase cycle,1.0,32,9,1,ZNF236
coding56,REAC,REAC:R-HSA-177929,Signaling by EGFR,1.0,32,51,1,LRIG1
coding56,REAC,REAC:R-HSA-9680350,Signaling by CSF1 (M-CSF) in myeloid cells,1.0,32,30,1,FCHO1
coding56,REAC,REAC:R-HSA-201451,Signaling by BMP,1.0,32,31,1,SNX16
coding56,REAC,REAC:R-HSA-162582,Signal Transduction,1.0,32,2570,9,ARL13B;DGKQ;KDM5A;LRIG1;NTAN1;PGAP3;SAP130;SNX16;ZNF236
coding56,REAC,REAC:R-HSA-9663891,Selective autophagy,1.0,32,88,1,ARL13B
coding56,REAC,REAC:R-HSA-3899300,SUMOylation of transcription cofactors,1.0,32,41,1,PGAP3
coding56,REAC,REAC:R-HSA-2990846,SUMOylation,1.0,32,178,1,PGAP3
coding56,REAC,REAC:R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,1.0,32,172,1,PGAP3
coding56,REAC,REAC:R-HSA-9679506,SARS-CoV Infections,1.0,32,459,1,KDM5A
coding56,REAC,REAC:R-HSA-9820952,Respiratory Syncytial Virus Infection Pathway,1.0,32,119,2,FAM184A;RC3H2
coding56,REAC,REAC:R-HSA-1474165,Reproduction,1.0,32,156,1,LOXL4
coding56,REAC,REAC:R-HSA-400206,Regulation of lipid metabolism by PPARalpha,1.0,32,114,2,FAM184A;RC3H2
coding56,REAC,REAC:R-HSA-422356,Regulation of insulin secretion,1.0,32,78,1,PARVA
coding56,REAC,REAC:R-HSA-9845323,Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs),1.0,32,97,1,KDM5A
coding56,REAC,REAC:R-HSA-9843940,Regulation of endogenous retroelements by KRAB-ZFP proteins,1.0,32,107,1,KDM5A
coding56,REAC,REAC:R-HSA-9842860,Regulation of endogenous retroelements,1.0,32,142,1,KDM5A
coding56,GO:MF,GO:0004053,arginase activity,1.0,50,3,1,MED23
coding56,GO:MF,GO:0003924,GTPase activity,1.0,50,336,1,ARL13B
coding56,GO:MF,GO:0003824,catalytic activity,1.0,50,5753,18,ARL13B;BMPR1A;CDC123;CHD4;DGKQ;DUSP13;EIF2B2;HMBS;HSD17B12;KCNJ11;KDM5A;LOXL4;LRRC41;MED23;SAP130;SNX16;TSPAN14;ZBTB6
